p_value, coning, f-vector-dim-1, f-vector-dim-2
0.122325,3750,3,3
0.991468,3751,3,3
0.213309,3752,3,3
0.991468,3753,3,3
0.739918,3754,3,3
0.739918,3755,3,3
0.739918,3756,3,3
0.991468,3757,3,3
0.534146,3758,3,3
0.739918,3759,3,3
0.911413,3760,3,3
0.350485,3761,3,3
0.739918,3762,3,3
0.350485,3763,3,3
0.066882,3764,3,3
0.739918,3765,3,3
0.350485,3766,3,3
0.350485,3767,3,3
0.122325,3768,3,3
0.534146,3769,3,3
0.122325,3770,3,3
0.739918,3771,3,3
0.035174,3772,3,3
0.534146,3773,3,3
0.739918,3774,3,3
0.911413,3775,3,3
0.350485,3776,3,3
0.534146,3777,3,3
0.739918,3778,3,3
0.739918,3779,3,3
0.213309,3780,3,3
0.739918,3781,3,3
0.739918,3782,3,3
0.534146,3783,3,3
0.122325,3784,3,3
0.739918,3785,3,3
0.350485,3786,3,3
0.739918,3787,3,3
0.534146,3788,3,3
0.739918,3789,3,3
0.739918,3790,3,3
0.991468,3791,3,3
0.350485,3792,3,3
0.066882,3793,3,3
0.350485,3794,3,3
0.739918,3795,3,3
0.350485,3796,3,3
0.350485,3797,3,3
0.739918,3798,3,3
0.739918,3799,3,3
0.122325,3800,3,3
0.534146,3801,3,3
0.534146,3802,3,3
0.350485,3803,3,3
0.739918,3804,3,3
0.739918,3805,3,3
0.534146,3806,3,3
0.991468,3807,3,3
0.350485,3808,3,3
0.911413,3809,3,3
0.739918,3810,3,3
0.739918,3811,3,3
0.534146,3812,3,3
0.739918,3813,3,3
0.350485,3814,3,3
0.534146,3815,3,3
0.534146,3816,3,3
0.911413,3817,3,3
0.350485,3818,3,3
0.066882,3819,3,3
0.991468,3820,3,3
0.739918,3821,3,3
0.350485,3822,3,3
0.991468,3823,3,3
0.066882,3824,3,3
0.911413,3825,3,3
0.035174,3826,3,3
0.739918,3827,3,3
0.911413,3828,3,3
0.350485,3829,3,3
0.534146,3830,3,3
0.122325,3831,3,3
0.534146,3832,3,3
0.350485,3833,3,3
0.122325,3834,3,3
0.739918,3835,3,3
0.122325,3836,3,3
0.534146,3837,3,3
0.534146,3838,3,3
0.350485,3839,3,3
0.739918,3840,3,3
0.534146,3841,3,3
0.739918,3842,3,3
0.066882,3843,3,3
0.066882,3844,3,3
0.122325,3845,3,3
0.534146,3846,3,3
0.739918,3847,3,3
0.122325,3848,3,3
0.739918,3849,3,3
