p_value, coning, f-vector-dim-1, f-vector-dim-2
0.911413,3750,3,3
0.122325,3750,3,3
0.350485,3751,3,3
0.066882,3751,3,3
0.911413,3752,3,3
0.739918,3752,3,3
0.122325,3753,3,3
0.911413,3753,3,3
0.122325,3754,3,3
0.739918,3754,3,3
0.350485,3755,3,3
0.534146,3755,3,3
0.350485,3756,3,3
0.739918,3756,3,3
0.534146,3757,3,3
0.122325,3757,3,3
0.066882,3758,3,3
0.213309,3758,3,3
0.122325,3759,3,3
0.739918,3759,3,3
0.213309,3760,3,3
0.911413,3760,3,3
0.739918,3761,3,3
0.350485,3761,3,3
0.002043,3762,3,3
0.534146,3762,3,3
0.911413,3763,3,3
0.911413,3763,3,3
0.213309,3764,3,3
0.911413,3764,3,3
0.739918,3765,3,3
0.739918,3765,3,3
0.534146,3766,3,3
0.017912,3766,3,3
0.350485,3767,3,3
0.213309,3767,3,3
0.122325,3768,3,3
0.911413,3768,3,3
0.534146,3769,3,3
0.213309,3769,3,3
0.534146,3770,3,3
0.534146,3770,3,3
0.739918,3771,3,3
0.534146,3771,3,3
0.350485,3772,3,3
0.739918,3772,3,3
0.911413,3773,3,3
0.911413,3773,3,3
0.534146,3774,3,3
0.534146,3774,3,3
0.008879,3775,3,3
0.350485,3775,3,3
0.213309,3776,3,3
0.534146,3776,3,3
0.739918,3777,3,3
0.122325,3777,3,3
0.534146,3778,3,3
0.911413,3778,3,3
0.122325,3779,3,3
0.213309,3779,3,3
0.534146,3780,3,3
0.534146,3780,3,3
0.004301,3781,3,3
0.213309,3781,3,3
0.911413,3782,3,3
0.066882,3782,3,3
0.066882,3783,3,3
0.911413,3783,3,3
0.739918,3784,3,3
0.534146,3784,3,3
0.350485,3785,3,3
0.534146,3785,3,3
0.991468,3786,3,3
0.739918,3786,3,3
0.350485,3787,3,3
0.122325,3787,3,3
0.534146,3788,3,3
0.534146,3788,3,3
0.534146,3789,3,3
0.739918,3789,3,3
0.911413,3790,3,3
0.066882,3790,3,3
0.534146,3791,3,3
0.213309,3791,3,3
0.008879,3792,3,3
0.739918,3792,3,3
0.534146,3793,3,3
0.213309,3793,3,3
0.739918,3794,3,3
0.534146,3794,3,3
0.534146,3795,3,3
0.739918,3795,3,3
0.350485,3796,3,3
0.534146,3796,3,3
0.122325,3797,3,3
0.534146,3797,3,3
0.122325,3798,3,3
0.066882,3798,3,3
0.213309,3799,3,3
0.350485,3799,3,3
0.911413,3800,3,3
0.739918,3800,3,3
0.350485,3801,3,3
0.534146,3801,3,3
0.350485,3802,3,3
0.534146,3802,3,3
0.739918,3803,3,3
0.739918,3803,3,3
0.534146,3804,3,3
0.213309,3804,3,3
0.911413,3805,3,3
0.122325,3805,3,3
0.534146,3806,3,3
0.350485,3806,3,3
0.213309,3807,3,3
0.350485,3807,3,3
0.739918,3808,3,3
0.350485,3808,3,3
0.350485,3809,3,3
0.350485,3809,3,3
0.350485,3810,3,3
0.911413,3810,3,3
0.534146,3811,3,3
0.350485,3811,3,3
0.739918,3812,3,3
0.911413,3812,3,3
0.122325,3813,3,3
0.350485,3813,3,3
0.534146,3814,3,3
0.350485,3814,3,3
0.739918,3815,3,3
0.350485,3815,3,3
0.911413,3816,3,3
0.534146,3816,3,3
0.911413,3817,3,3
0.534146,3817,3,3
0.911413,3818,3,3
0.122325,3818,3,3
0.122325,3819,3,3
0.213309,3819,3,3
0.911413,3820,3,3
0.534146,3820,3,3
0.534146,3821,3,3
0.911413,3821,3,3
0.534146,3822,3,3
0.213309,3822,3,3
0.122325,3823,3,3
0.739918,3823,3,3
0.122325,3824,3,3
0.534146,3824,3,3
0.534146,3825,3,3
0.739918,3825,3,3
0.911413,3826,3,3
0.066882,3826,3,3
0.739918,3827,3,3
0.213309,3827,3,3
0.911413,3828,3,3
0.739918,3828,3,3
0.534146,3829,3,3
0.739918,3829,3,3
0.213309,3830,3,3
0.739918,3830,3,3
0.739918,3831,3,3
0.035174,3831,3,3
0.739918,3832,3,3
0.122325,3832,3,3
0.534146,3833,3,3
0.739918,3833,3,3
0.911413,3834,3,3
0.534146,3834,3,3
0.534146,3835,3,3
0.534146,3835,3,3
0.739918,3836,3,3
0.350485,3836,3,3
0.739918,3837,3,3
0.534146,3837,3,3
0.122325,3838,3,3
0.534146,3838,3,3
0.911413,3839,3,3
0.911413,3839,3,3
0.122325,3840,3,3
0.534146,3840,3,3
0.911413,3841,3,3
0.534146,3841,3,3
0.350485,3842,3,3
0.350485,3842,3,3
0.739918,3843,3,3
0.213309,3843,3,3
0.739918,3844,3,3
0.534146,3844,3,3
0.911413,3845,3,3
0.739918,3845,3,3
0.122325,3846,3,3
0.739918,3846,3,3
0.739918,3847,3,3
0.350485,3847,3,3
0.122325,3848,3,3
0.213309,3848,3,3
0.534146,3849,3,3
0.739918,3849,3,3
