p_value, coning, f-vector-dim-1, f-vector-dim-2
0.739918,0,,
0.350485,1,,
0.534146,2,,
0.911413,3,,
0.350485,4,,
0.739918,5,,
0.350485,6,,
0.122325,7,,
0.911413,8,,
0.739918,9,,
0.035174,10,,
0.534146,11,,
0.911413,12,,
0.534146,13,,
0.122325,14,,
0.122325,15,,
0.350485,16,,
0.534146,17,,
0.739918,18,,
0.534146,19,,
0.213309,20,,
0.350485,21,,
0.739918,22,,
0.066882,23,,
0.911413,24,,
0.739918,25,,
0.534146,26,,
0.534146,27,,
0.534146,28,,
0.534146,29,,
0.350485,30,,
0.991468,31,,
0.739918,32,,
0.122325,33,,
0.035174,34,,
0.534146,35,,
0.739918,36,,
0.911413,37,,
0.017912,38,,
0.534146,39,,
0.534146,40,,
0.534146,41,,
0.350485,42,,
0.122325,43,,
0.350485,44,,
0.739918,45,,
0.122325,46,,
0.350485,47,,
0.739918,48,,
0.534146,49,,
0.350485,50,,
0.066882,51,,
0.534146,52,,
0.350485,53,,
0.350485,54,,
0.534146,55,,
0.911413,56,,
0.213309,57,,
0.350485,58,,
0.213309,59,,
0.122325,60,,
0.534146,61,,
0.350485,62,,
0.911413,63,,
0.911413,64,,
0.739918,65,,
0.350485,66,,
0.066882,67,,
0.534146,68,,
0.213309,69,,
0.122325,70,,
0.739918,71,,
0.739918,72,,
0.213309,73,,
0.534146,74,,
0.122325,75,,
0.739918,76,,
0.350485,77,,
0.350485,78,,
0.066882,79,,
0.350485,80,,
0.739918,81,,
0.122325,82,,
0.739918,83,,
0.739918,84,,
0.122325,85,,
0.350485,86,,
0.739918,87,,
0.122325,88,,
0.350485,89,,
0.213309,90,,
0.911413,91,,
0.350485,92,,
0.534146,93,,
0.739918,94,,
0.534146,95,,
0.350485,96,,
0.911413,97,,
0.122325,98,,
0.534146,99,,
