p_value, coning, f-vector-dim-1, f-vector-dim-2
0.066882,0,,
0.350485,1,,
0.739918,2,,
0.534146,3,,
0.739918,4,,
0.911413,5,,
0.534146,6,,
0.739918,7,,
0.122325,8,,
0.911413,9,,
0.350485,10,,
0.350485,11,,
0.122325,12,,
0.911413,13,,
0.350485,14,,
0.739918,15,,
0.122325,16,,
0.534146,17,,
0.534146,18,,
0.350485,19,,
0.739918,20,,
0.066882,21,,
0.534146,22,,
0.066882,23,,
0.213309,24,,
0.911413,25,,
0.066882,26,,
0.035174,27,,
0.534146,28,,
0.350485,29,,
0.534146,30,,
0.350485,31,,
0.350485,32,,
0.122325,33,,
0.534146,34,,
0.534146,35,,
0.739918,36,,
0.739918,37,,
0.350485,38,,
0.534146,39,,
0.066882,40,,
0.350485,41,,
0.739918,42,,
0.350485,43,,
0.350485,44,,
0.350485,45,,
0.739918,46,,
0.122325,47,,
0.739918,48,,
0.035174,49,,
0.739918,50,,
0.739918,51,,
0.739918,52,,
0.534146,53,,
0.991468,54,,
0.350485,55,,
0.213309,56,,
0.066882,57,,
0.911413,58,,
0.122325,59,,
0.350485,60,,
0.122325,61,,
0.739918,62,,
0.122325,63,,
0.008879,64,,
0.350485,65,,
0.534146,66,,
0.911413,67,,
0.350485,68,,
0.122325,69,,
0.534146,70,,
0.350485,71,,
0.534146,72,,
0.350485,73,,
0.008879,74,,
0.213309,75,,
0.350485,76,,
0.739918,77,,
0.739918,78,,
0.008879,79,,
0.350485,80,,
0.534146,81,,
0.739918,82,,
0.213309,83,,
0.350485,84,,
0.534146,85,,
0.213309,86,,
0.534146,87,,
0.911413,88,,
0.035174,89,,
0.350485,90,,
0.008879,91,,
0.035174,92,,
0.066882,93,,
0.350485,94,,
0.350485,95,,
0.350485,96,,
0.122325,97,,
0.122325,98,,
0.122325,99,,
