p_value, coning, f-vector-dim-1, f-vector-dim-2
0.350485,0,,
0.739918,0,,
0.008879,1,,
0.017912,1,,
0.534146,2,,
0.213309,2,,
0.035174,3,,
0.350485,3,,
0.350485,4,,
0.122325,4,,
0.350485,5,,
0.534146,5,,
0.066882,6,,
0.122325,6,,
0.534146,7,,
0.035174,7,,
0.350485,8,,
0.350485,8,,
0.004301,9,,
0.004301,9,,
0.739918,10,,
0.122325,10,,
0.066882,11,,
0.017912,11,,
0.035174,12,,
0.066882,12,,
0.017912,13,,
0.213309,13,,
0.122325,14,,
0.213309,14,,
0.002043,15,,
0.350485,15,,
0.911413,16,,
0.213309,16,,
0.213309,17,,
0.350485,17,,
0.534146,18,,
0.122325,18,,
0.739918,19,,
0.911413,19,,
0.739918,20,,
0.350485,20,,
0.911413,21,,
0.350485,21,,
0.213309,22,,
0.066882,22,,
0.350485,23,,
0.534146,23,,
0.911413,24,,
0.350485,24,,
0.000199,25,,
0.000954,25,,
0.008879,26,,
0.008879,26,,
0.066882,27,,
0.035174,27,,
0.002043,28,,
0.122325,28,,
0.213309,29,,
0.017912,29,,
0.534146,30,,
0.066882,30,,
0.739918,31,,
0.017912,31,,
0.004301,32,,
0.008879,32,,
0.008879,33,,
0.008879,33,,
0.035174,34,,
0.739918,34,,
0.017912,35,,
0.122325,35,,
0.213309,36,,
0.213309,36,,
0.350485,37,,
0.213309,37,,
0.035174,38,,
0.534146,38,,
0.035174,39,,
0.008879,39,,
0.739918,40,,
0.739918,40,,
0.122325,41,,
0.122325,41,,
0.213309,42,,
0.350485,42,,
0.213309,43,,
0.534146,43,,
0.991468,44,,
0.534146,44,,
0.350485,45,,
0.035174,45,,
0.350485,46,,
0.122325,46,,
0.534146,47,,
0.739918,47,,
0.350485,48,,
0.035174,48,,
0.534146,49,,
0.122325,49,,
1e-06,50,,
0.000439,50,,
0.122325,51,,
0.008879,51,,
0.534146,52,,
0.739918,52,,
0.991468,53,,
0.911413,53,,
0.534146,54,,
0.739918,54,,
0.350485,55,,
0.739918,55,,
0.350485,56,,
0.911413,56,,
0.008879,57,,
0.350485,57,,
0.350485,58,,
0.534146,58,,
0.122325,59,,
0.213309,59,,
0.002043,60,,
0.017912,60,,
0.000954,61,,
0.066882,61,,
0.350485,62,,
0.350485,62,,
0.739918,63,,
0.350485,63,,
0.122325,64,,
0.035174,64,,
0.534146,65,,
0.122325,65,,
0.911413,66,,
0.739918,66,,
0.739918,67,,
0.350485,67,,
0.122325,68,,
0.534146,68,,
0.122325,69,,
0.911413,69,,
0.534146,70,,
0.534146,70,,
0.213309,71,,
0.739918,71,,
0.350485,72,,
0.350485,72,,
0.002043,73,,
0.002043,73,,
0.213309,74,,
0.534146,74,,
0.122325,75,,
0.066882,75,,
0.122325,76,,
0.911413,76,,
0.911413,77,,
0.739918,77,,
0.122325,78,,
0.534146,78,,
0.534146,79,,
0.066882,79,,
0.350485,80,,
0.911413,80,,
0.739918,81,,
0.739918,81,,
0.350485,82,,
0.122325,82,,
0.008879,83,,
0.122325,83,,
0.739918,84,,
0.350485,84,,
0.350485,85,,
0.739918,85,,
0.350485,86,,
0.739918,86,,
0.066882,87,,
0.911413,87,,
0.213309,88,,
0.350485,88,,
0.0,89,,
0.0,89,,
0.000199,90,,
3e-06,90,,
0.122325,91,,
0.008879,91,,
0.035174,92,,
0.122325,92,,
0.017912,93,,
0.017912,93,,
0.122325,94,,
0.350485,94,,
0.350485,95,,
0.739918,95,,
0.008879,96,,
0.008879,96,,
0.035174,97,,
0.122325,97,,
0.017912,98,,
0.008879,98,,
0.739918,99,,
0.004301,99,,
