p_value, coning, f-vector-dim-1, f-vector-dim-2
0.350485,0,,
0.350485,1,,
0.739918,2,,
0.534146,3,,
0.534146,4,,
0.350485,5,,
0.534146,6,,
0.534146,7,,
0.350485,8,,
0.350485,9,,
0.213309,10,,
0.739918,11,,
0.035174,12,,
0.534146,13,,
0.739918,14,,
0.122325,15,,
0.534146,16,,
0.534146,17,,
0.534146,18,,
0.534146,19,,
0.534146,20,,
0.739918,21,,
0.739918,22,,
0.122325,23,,
0.122325,24,,
0.213309,25,,
0.739918,26,,
0.350485,27,,
0.350485,28,,
0.739918,29,,
0.534146,30,,
0.534146,31,,
0.017912,32,,
0.534146,33,,
0.350485,34,,
0.911413,35,,
0.122325,36,,
0.739918,37,,
0.350485,38,,
0.534146,39,,
0.739918,40,,
0.739918,41,,
0.911413,42,,
0.213309,43,,
0.739918,44,,
0.066882,45,,
0.213309,46,,
0.534146,47,,
0.213309,48,,
0.739918,49,,
0.122325,50,,
0.122325,51,,
0.534146,52,,
0.911413,53,,
0.213309,54,,
0.035174,55,,
0.739918,56,,
0.911413,57,,
0.739918,58,,
0.911413,59,,
0.911413,60,,
0.911413,61,,
0.911413,62,,
0.739918,63,,
0.739918,64,,
0.739918,65,,
0.534146,66,,
0.739918,67,,
0.122325,68,,
0.213309,69,,
0.534146,70,,
0.534146,71,,
0.534146,72,,
0.739918,73,,
0.534146,74,,
0.350485,75,,
0.350485,76,,
0.911413,77,,
0.017912,78,,
0.911413,79,,
0.739918,80,,
0.350485,81,,
0.739918,82,,
0.739918,83,,
0.911413,84,,
0.739918,85,,
0.534146,86,,
0.739918,87,,
0.739918,88,,
0.534146,89,,
0.534146,90,,
0.534146,91,,
0.739918,92,,
0.534146,93,,
0.350485,94,,
0.350485,95,,
0.122325,96,,
0.066882,97,,
0.122325,98,,
0.739918,99,,
