p_value, coning, f-vector-dim-1, f-vector-dim-2
0.213309,0,,
0.000439,1,,
0.122325,2,,
0.350485,3,,
0.534146,4,,
0.350485,5,,
0.122325,6,,
0.739918,7,,
0.350485,8,,
0.002043,9,,
0.066882,10,,
0.350485,11,,
0.122325,12,,
0.122325,13,,
0.122325,14,,
0.350485,15,,
0.534146,16,,
0.213309,17,,
0.534146,18,,
0.534146,19,,
0.122325,20,,
0.122325,21,,
0.213309,22,,
0.911413,23,,
0.739918,24,,
1e-06,25,,
0.122325,26,,
0.008879,27,,
0.008879,28,,
0.122325,29,,
0.350485,30,,
0.350485,31,,
0.004301,32,,
0.002043,33,,
0.911413,34,,
0.066882,35,,
0.534146,36,,
0.534146,37,,
0.739918,38,,
0.000199,39,,
0.739918,40,,
0.004301,41,,
0.350485,42,,
0.122325,43,,
0.213309,44,,
0.350485,45,,
0.350485,46,,
0.534146,47,,
0.017912,48,,
0.911413,49,,
0.000199,50,,
0.122325,51,,
0.739918,52,,
0.911413,53,,
0.534146,54,,
0.534146,55,,
0.739918,56,,
0.911413,57,,
0.739918,58,,
0.534146,59,,
0.035174,60,,
0.008879,61,,
0.122325,62,,
0.911413,63,,
0.008879,64,,
0.534146,65,,
0.350485,66,,
0.911413,67,,
0.122325,68,,
0.534146,69,,
0.534146,70,,
0.534146,71,,
0.534146,72,,
0.008879,73,,
0.122325,74,,
0.066882,75,,
0.739918,76,,
0.739918,77,,
0.991468,78,,
0.350485,79,,
0.350485,80,,
0.534146,81,,
0.739918,82,,
0.017912,83,,
0.534146,84,,
0.739918,85,,
0.350485,86,,
0.534146,87,,
0.739918,88,,
0.0,89,,
1e-06,90,,
0.004301,91,,
0.350485,92,,
0.008879,93,,
0.350485,94,,
0.350485,95,,
0.008879,96,,
0.017912,97,,
4e-05,98,,
0.534146,99,,
