p_value, coning, f-vector-dim-1, f-vector-dim-2
0.534146,0,,
0.739918,1,,
0.739918,2,,
0.534146,3,,
0.350485,4,,
0.122325,5,,
0.911413,6,,
0.739918,7,,
0.911413,8,,
0.122325,9,,
0.066882,10,,
0.534146,11,,
0.534146,12,,
0.017912,13,,
0.911413,14,,
0.350485,15,,
0.534146,16,,
0.350485,17,,
0.991468,18,,
0.066882,19,,
0.739918,20,,
0.213309,21,,
0.739918,22,,
0.534146,23,,
0.534146,24,,
0.350485,25,,
0.350485,26,,
0.350485,27,,
0.534146,28,,
0.122325,29,,
0.066882,30,,
0.350485,31,,
0.739918,32,,
0.534146,33,,
0.739918,34,,
0.350485,35,,
0.991468,36,,
0.350485,37,,
0.739918,38,,
0.739918,39,,
0.122325,40,,
0.534146,41,,
0.739918,42,,
0.122325,43,,
0.911413,44,,
0.911413,45,,
0.739918,46,,
0.534146,47,,
0.122325,48,,
0.350485,49,,
0.122325,50,,
0.739918,51,,
0.534146,52,,
0.534146,53,,
0.534146,54,,
0.739918,55,,
0.739918,56,,
0.534146,57,,
0.122325,58,,
0.739918,59,,
0.350485,60,,
0.122325,61,,
0.534146,62,,
0.739918,63,,
0.911413,64,,
0.534146,65,,
0.066882,66,,
0.739918,67,,
0.350485,68,,
0.739918,69,,
0.213309,70,,
0.739918,71,,
0.739918,72,,
0.534146,73,,
0.739918,74,,
0.534146,75,,
0.534146,76,,
0.911413,77,,
0.350485,78,,
0.534146,79,,
0.350485,80,,
0.991468,81,,
0.066882,82,,
0.350485,83,,
0.739918,84,,
0.534146,85,,
0.213309,86,,
0.534146,87,,
0.911413,88,,
0.035174,89,,
0.739918,90,,
0.534146,91,,
0.350485,92,,
0.911413,93,,
0.739918,94,,
0.213309,95,,
0.534146,96,,
0.534146,97,,
0.350485,98,,
0.122325,99,,
