p_value, coning, f-vector-dim-1, f-vector-dim-2
0.911413,0,,
0.739918,1,,
0.739918,2,,
0.066882,3,,
0.534146,4,,
0.739918,5,,
0.350485,6,,
0.911413,7,,
0.739918,8,,
0.739918,9,,
0.739918,10,,
0.534146,11,,
0.534146,12,,
0.534146,13,,
0.739918,14,,
0.350485,15,,
0.534146,16,,
0.739918,17,,
0.534146,18,,
0.350485,19,,
0.739918,20,,
0.739918,21,,
0.911413,22,,
0.122325,23,,
0.739918,24,,
0.066882,25,,
0.534146,26,,
0.911413,27,,
0.017912,28,,
0.122325,29,,
0.035174,30,,
0.350485,31,,
0.350485,32,,
0.911413,33,,
0.035174,34,,
0.213309,35,,
0.035174,36,,
0.534146,37,,
0.122325,38,,
0.911413,39,,
0.122325,40,,
0.739918,41,,
0.739918,42,,
0.534146,43,,
0.739918,44,,
0.534146,45,,
0.739918,46,,
0.350485,47,,
0.739918,48,,
0.534146,49,,
0.350485,50,,
0.000439,51,,
0.534146,52,,
0.911413,53,,
0.350485,54,,
0.534146,55,,
0.739918,56,,
0.911413,57,,
0.213309,58,,
0.911413,59,,
0.534146,60,,
0.911413,61,,
0.350485,62,,
0.350485,63,,
0.534146,64,,
0.739918,65,,
0.350485,66,,
0.534146,67,,
0.066882,68,,
0.911413,69,,
0.739918,70,,
0.350485,71,,
0.739918,72,,
0.534146,73,,
0.350485,74,,
0.739918,75,,
0.739918,76,,
0.534146,77,,
0.017912,78,,
0.534146,79,,
0.534146,80,,
0.911413,81,,
0.534146,82,,
0.911413,83,,
0.534146,84,,
0.035174,85,,
0.350485,86,,
0.534146,87,,
0.350485,88,,
0.911413,89,,
0.739918,90,,
0.122325,91,,
0.350485,92,,
0.534146,93,,
0.739918,94,,
0.534146,95,,
0.739918,96,,
0.122325,97,,
0.739918,98,,
0.739918,99,,
