p_value, coning, f-vector-dim-1, f-vector-dim-2
0.739918,0,,
0.534146,1,,
0.122325,2,,
0.911413,3,,
0.350485,4,,
0.350485,5,,
0.534146,6,,
0.911413,7,,
0.534146,8,,
0.534146,9,,
0.122325,10,,
0.534146,11,,
0.534146,12,,
0.534146,13,,
0.122325,14,,
0.213309,15,,
0.534146,16,,
0.122325,17,,
0.534146,18,,
0.350485,19,,
0.350485,20,,
0.350485,21,,
0.911413,22,,
0.534146,23,,
0.213309,24,,
0.534146,25,,
0.534146,26,,
0.911413,27,,
0.122325,28,,
0.534146,29,,
0.739918,30,,
0.066882,31,,
0.739918,32,,
0.122325,33,,
0.350485,34,,
0.911413,35,,
0.534146,36,,
0.739918,37,,
0.534146,38,,
0.534146,39,,
0.350485,40,,
0.066882,41,,
0.739918,42,,
0.350485,43,,
0.122325,44,,
0.350485,45,,
0.739918,46,,
0.534146,47,,
0.350485,48,,
0.911413,49,,
0.739918,50,,
0.534146,51,,
0.122325,52,,
0.739918,53,,
0.213309,54,,
0.213309,55,,
0.739918,56,,
0.350485,57,,
0.122325,58,,
0.739918,59,,
0.213309,60,,
0.911413,61,,
0.534146,62,,
0.350485,63,,
0.350485,64,,
0.739918,65,,
0.534146,66,,
0.122325,67,,
0.008879,68,,
0.739918,69,,
0.066882,70,,
0.017912,71,,
0.534146,72,,
0.739918,73,,
0.350485,74,,
0.534146,75,,
0.739918,76,,
0.911413,77,,
0.739918,78,,
0.122325,79,,
0.911413,80,,
0.350485,81,,
0.534146,82,,
0.350485,83,,
0.739918,84,,
0.350485,85,,
0.534146,86,,
0.739918,87,,
0.534146,88,,
0.739918,89,,
0.350485,90,,
0.739918,91,,
0.122325,92,,
0.534146,93,,
0.017912,94,,
0.739918,95,,
0.911413,96,,
0.534146,97,,
0.350485,98,,
0.213309,99,,
