p_value, coning, f-vector-dim-1, f-vector-dim-2
0.534146,0,,
0.350485,1,,
0.739918,2,,
0.122325,3,,
0.739918,4,,
0.534146,5,,
0.122325,6,,
0.739918,7,,
0.350485,8,,
0.534146,9,,
0.534146,10,,
0.991468,11,,
0.122325,12,,
0.122325,13,,
0.122325,14,,
0.739918,15,,
0.035174,16,,
0.534146,17,,
0.911413,18,,
0.017912,19,,
0.350485,20,,
0.739918,21,,
0.534146,22,,
0.991468,23,,
0.534146,24,,
0.739918,25,,
0.534146,26,,
0.534146,27,,
0.534146,28,,
0.350485,29,,
0.534146,30,,
0.122325,31,,
0.122325,32,,
0.534146,33,,
0.534146,34,,
0.991468,35,,
0.739918,36,,
0.739918,37,,
0.066882,38,,
0.534146,39,,
0.213309,40,,
0.739918,41,,
0.350485,42,,
0.213309,43,,
0.534146,44,,
0.739918,45,,
0.350485,46,,
0.350485,47,,
0.534146,48,,
0.534146,49,,
0.350485,50,,
0.911413,51,,
0.534146,52,,
0.350485,53,,
0.350485,54,,
0.122325,55,,
0.213309,56,,
0.213309,57,,
0.739918,58,,
0.035174,59,,
0.350485,60,,
0.534146,61,,
0.739918,62,,
0.739918,63,,
0.534146,64,,
0.213309,65,,
0.739918,66,,
0.350485,67,,
0.534146,68,,
0.911413,69,,
0.350485,70,,
0.350485,71,,
0.035174,72,,
0.534146,73,,
0.534146,74,,
0.350485,75,,
0.911413,76,,
0.350485,77,,
0.911413,78,,
0.739918,79,,
0.213309,80,,
0.122325,81,,
0.350485,82,,
0.066882,83,,
0.350485,84,,
0.739918,85,,
0.350485,86,,
0.534146,87,,
0.350485,88,,
0.739918,89,,
0.350485,90,,
0.017912,91,,
0.350485,92,,
0.739918,93,,
0.739918,94,,
0.350485,95,,
0.911413,96,,
0.991468,97,,
0.739918,98,,
0.213309,99,,
