p_value, coning, f-vector-dim-1, f-vector-dim-2
0.739918,0,,
0.004301,1,,
0.350485,2,,
0.739918,3,,
0.534146,4,,
0.122325,5,,
0.213309,6,,
0.534146,7,,
0.350485,8,,
0.350485,9,,
0.739918,10,,
0.534146,11,,
0.534146,12,,
0.213309,13,,
0.739918,14,,
0.534146,15,,
0.534146,16,,
0.122325,17,,
0.739918,18,,
0.213309,19,,
0.350485,20,,
0.008879,21,,
0.213309,22,,
0.534146,23,,
0.739918,24,,
0.004301,25,,
0.534146,26,,
0.739918,27,,
0.122325,28,,
0.350485,29,,
0.739918,30,,
0.534146,31,,
0.739918,32,,
0.911413,33,,
0.122325,34,,
0.350485,35,,
0.213309,36,,
0.534146,37,,
0.122325,38,,
0.213309,39,,
0.911413,40,,
0.122325,41,,
0.213309,42,,
0.122325,43,,
0.739918,44,,
0.213309,45,,
0.213309,46,,
0.534146,47,,
0.911413,48,,
0.213309,49,,
0.213309,50,,
0.534146,51,,
0.350485,52,,
0.534146,53,,
0.739918,54,,
0.911413,55,,
0.350485,56,,
0.213309,57,,
0.213309,58,,
0.534146,59,,
0.122325,60,,
0.911413,61,,
0.350485,62,,
0.213309,63,,
0.739918,64,,
0.035174,65,,
0.739918,66,,
0.213309,67,,
0.739918,68,,
0.534146,69,,
0.066882,70,,
0.911413,71,,
0.008879,72,,
0.739918,73,,
0.122325,74,,
0.350485,75,,
0.911413,76,,
0.008879,77,,
0.350485,78,,
0.350485,79,,
0.350485,80,,
0.534146,81,,
0.213309,82,,
0.911413,83,,
0.739918,84,,
0.122325,85,,
0.739918,86,,
0.911413,87,,
0.213309,88,,
0.122325,89,,
0.911413,90,,
0.122325,91,,
0.213309,92,,
0.350485,93,,
0.534146,94,,
0.002043,95,,
0.350485,96,,
0.534146,97,,
0.122325,98,,
0.739918,99,,
