p_value, coning, f-vector-dim-1, f-vector-dim-2
0.350485,0,,
0.739918,0,,
0.066882,1,,
0.213309,1,,
0.066882,2,,
0.534146,2,,
0.534146,3,,
0.534146,3,,
0.534146,4,,
0.911413,4,,
0.534146,5,,
0.534146,5,,
0.350485,6,,
0.534146,6,,
0.534146,7,,
0.534146,7,,
0.739918,8,,
0.350485,8,,
0.350485,9,,
0.350485,9,,
0.066882,10,,
0.534146,10,,
0.350485,11,,
0.122325,11,,
0.739918,12,,
0.739918,12,,
0.350485,13,,
0.122325,13,,
0.739918,14,,
0.534146,14,,
0.122325,15,,
0.911413,15,,
0.122325,16,,
0.739918,16,,
0.991468,17,,
0.911413,17,,
0.534146,18,,
0.066882,18,,
0.739918,19,,
0.066882,19,,
0.991468,20,,
0.213309,20,,
0.534146,21,,
0.350485,21,,
0.739918,22,,
0.911413,22,,
0.739918,23,,
0.350485,23,,
0.350485,24,,
0.534146,24,,
0.213309,25,,
0.066882,25,,
0.066882,26,,
0.534146,26,,
0.739918,27,,
0.534146,27,,
0.991468,28,,
0.534146,28,,
0.066882,29,,
0.000439,29,,
0.350485,30,,
0.534146,30,,
0.739918,31,,
0.350485,31,,
0.213309,32,,
0.350485,32,,
0.739918,33,,
0.534146,33,,
0.350485,34,,
0.066882,34,,
0.350485,35,,
0.739918,35,,
0.350485,36,,
0.739918,36,,
0.213309,37,,
0.350485,37,,
0.066882,38,,
0.350485,38,,
0.739918,39,,
0.739918,39,,
0.350485,40,,
0.350485,40,,
0.213309,41,,
0.350485,41,,
0.350485,42,,
0.122325,42,,
0.017912,43,,
0.213309,43,,
0.122325,44,,
0.213309,44,,
0.911413,45,,
0.534146,45,,
0.350485,46,,
0.739918,46,,
0.911413,47,,
0.534146,47,,
0.122325,48,,
0.008879,48,,
0.534146,49,,
0.213309,49,,
0.066882,50,,
0.534146,50,,
0.350485,51,,
0.122325,51,,
0.122325,52,,
0.122325,52,,
0.213309,53,,
0.911413,53,,
0.350485,54,,
0.739918,54,,
0.991468,55,,
0.534146,55,,
0.911413,56,,
0.350485,56,,
0.534146,57,,
0.122325,57,,
0.534146,58,,
0.739918,58,,
0.739918,59,,
0.122325,59,,
0.534146,60,,
0.911413,60,,
0.739918,61,,
0.213309,61,,
0.911413,62,,
0.017912,62,,
0.350485,63,,
0.534146,63,,
0.213309,64,,
0.066882,64,,
0.122325,65,,
0.739918,65,,
0.911413,66,,
0.213309,66,,
0.911413,67,,
0.739918,67,,
0.213309,68,,
0.534146,68,,
0.911413,69,,
0.122325,69,,
0.739918,70,,
0.350485,70,,
0.739918,71,,
0.911413,71,,
0.991468,72,,
0.739918,72,,
0.534146,73,,
0.122325,73,,
0.350485,74,,
0.534146,74,,
0.739918,75,,
0.534146,75,,
0.534146,76,,
0.534146,76,,
0.534146,77,,
0.350485,77,,
0.213309,78,,
0.534146,78,,
0.350485,79,,
0.911413,79,,
0.911413,80,,
0.911413,80,,
0.739918,81,,
0.534146,81,,
0.534146,82,,
0.066882,82,,
0.350485,83,,
0.911413,83,,
0.350485,84,,
0.350485,84,,
0.213309,85,,
0.122325,85,,
0.534146,86,,
0.350485,86,,
0.122325,87,,
0.739918,87,,
0.122325,88,,
0.213309,88,,
0.213309,89,,
0.739918,89,,
0.534146,90,,
0.739918,90,,
0.739918,91,,
0.911413,91,,
0.534146,92,,
0.534146,92,,
0.739918,93,,
0.350485,93,,
0.739918,94,,
0.534146,94,,
0.534146,95,,
0.534146,95,,
0.035174,96,,
0.350485,96,,
0.739918,97,,
0.739918,97,,
0.911413,98,,
0.534146,98,,
0.008879,99,,
0.534146,99,,
