p_value, coning, f-vector-dim-1, f-vector-dim-2
0.350485,0,,
0.739918,1,,
0.739918,2,,
0.739918,3,,
0.534146,4,,
0.911413,5,,
0.534146,6,,
0.350485,7,,
0.534146,8,,
0.534146,9,,
0.122325,10,,
0.911413,11,,
0.739918,12,,
0.534146,13,,
0.739918,14,,
0.122325,15,,
0.534146,16,,
0.122325,17,,
0.350485,18,,
0.213309,19,,
0.739918,20,,
0.017912,21,,
0.066882,22,,
0.122325,23,,
0.534146,24,,
0.350485,25,,
0.213309,26,,
0.534146,27,,
0.350485,28,,
0.213309,29,,
0.122325,30,,
0.213309,31,,
0.350485,32,,
0.534146,33,,
0.534146,34,,
0.213309,35,,
0.350485,36,,
0.534146,37,,
0.739918,38,,
0.122325,39,,
0.534146,40,,
0.739918,41,,
0.534146,42,,
0.350485,43,,
0.017912,44,,
0.739918,45,,
0.213309,46,,
0.122325,47,,
0.534146,48,,
0.739918,49,,
0.911413,50,,
0.534146,51,,
0.534146,52,,
0.213309,53,,
0.534146,54,,
0.350485,55,,
0.122325,56,,
0.122325,57,,
0.739918,58,,
0.911413,59,,
0.213309,60,,
0.739918,61,,
0.350485,62,,
0.122325,63,,
0.035174,64,,
0.739918,65,,
0.350485,66,,
0.350485,67,,
0.534146,68,,
0.911413,69,,
0.739918,70,,
0.739918,71,,
0.911413,72,,
0.350485,73,,
0.534146,74,,
0.350485,75,,
0.122325,76,,
0.122325,77,,
0.350485,78,,
0.350485,79,,
0.350485,80,,
0.350485,81,,
0.534146,82,,
0.739918,83,,
0.213309,84,,
0.213309,85,,
0.534146,86,,
0.739918,87,,
0.350485,88,,
0.534146,89,,
0.534146,90,,
0.350485,91,,
0.213309,92,,
0.066882,93,,
0.350485,94,,
0.739918,95,,
0.534146,96,,
0.350485,97,,
0.534146,98,,
0.035174,99,,
