p_value, coning, f-vector-dim-1, f-vector-dim-2
0.122325,3750,,
0.739918,3751,,
0.350485,3752,,
0.534146,3753,,
0.911413,3754,,
0.350485,3755,,
0.739918,3756,,
0.350485,3757,,
0.122325,3758,,
0.911413,3759,,
0.739918,3760,,
0.035174,3761,,
0.534146,3762,,
0.911413,3763,,
0.534146,3764,,
0.122325,3765,,
0.122325,3766,,
0.350485,3767,,
0.534146,3768,,
0.739918,3769,,
0.534146,3770,,
0.213309,3771,,
0.350485,3772,,
0.739918,3773,,
0.066882,3774,,
0.911413,3775,,
0.739918,3776,,
0.534146,3777,,
0.534146,3778,,
0.534146,3779,,
0.534146,3780,,
0.350485,3781,,
0.991468,3782,,
0.739918,3783,,
0.122325,3784,,
0.035174,3785,,
0.534146,3786,,
0.739918,3787,,
0.911413,3788,,
0.017912,3789,,
0.534146,3790,,
0.534146,3791,,
0.534146,3792,,
0.350485,3793,,
0.122325,3794,,
0.350485,3795,,
0.739918,3796,,
0.122325,3797,,
0.350485,3798,,
0.739918,3799,,
0.534146,3800,,
0.350485,3801,,
0.066882,3802,,
0.534146,3803,,
0.350485,3804,,
0.350485,3805,,
0.534146,3806,,
0.911413,3807,,
0.213309,3808,,
0.350485,3809,,
0.213309,3810,,
0.122325,3811,,
0.534146,3812,,
0.350485,3813,,
0.911413,3814,,
0.911413,3815,,
0.739918,3816,,
0.350485,3817,,
0.066882,3818,,
0.534146,3819,,
0.213309,3820,,
0.122325,3821,,
0.739918,3822,,
0.739918,3823,,
0.213309,3824,,
0.534146,3825,,
0.122325,3826,,
0.739918,3827,,
0.350485,3828,,
0.350485,3829,,
0.066882,3830,,
0.350485,3831,,
0.739918,3832,,
0.122325,3833,,
0.739918,3834,,
0.739918,3835,,
0.122325,3836,,
0.350485,3837,,
0.739918,3838,,
0.122325,3839,,
0.350485,3840,,
0.213309,3841,,
0.911413,3842,,
0.350485,3843,,
0.534146,3844,,
0.739918,3845,,
0.534146,3846,,
0.350485,3847,,
0.911413,3848,,
0.122325,3849,,
