p_value, coning, f-vector-dim-1, f-vector-dim-2
0.350485,3750,,
0.066882,3751,,
0.350485,3752,,
0.739918,3753,,
0.534146,3754,,
0.739918,3755,,
0.911413,3756,,
0.534146,3757,,
0.739918,3758,,
0.122325,3759,,
0.911413,3760,,
0.350485,3761,,
0.350485,3762,,
0.122325,3763,,
0.911413,3764,,
0.350485,3765,,
0.739918,3766,,
0.122325,3767,,
0.534146,3768,,
0.534146,3769,,
0.350485,3770,,
0.739918,3771,,
0.066882,3772,,
0.534146,3773,,
0.066882,3774,,
0.213309,3775,,
0.911413,3776,,
0.066882,3777,,
0.035174,3778,,
0.534146,3779,,
0.350485,3780,,
0.534146,3781,,
0.350485,3782,,
0.350485,3783,,
0.122325,3784,,
0.534146,3785,,
0.534146,3786,,
0.739918,3787,,
0.739918,3788,,
0.350485,3789,,
0.534146,3790,,
0.066882,3791,,
0.350485,3792,,
0.739918,3793,,
0.350485,3794,,
0.350485,3795,,
0.350485,3796,,
0.739918,3797,,
0.122325,3798,,
0.739918,3799,,
0.035174,3800,,
0.739918,3801,,
0.739918,3802,,
0.739918,3803,,
0.534146,3804,,
0.991468,3805,,
0.350485,3806,,
0.213309,3807,,
0.066882,3808,,
0.911413,3809,,
0.122325,3810,,
0.350485,3811,,
0.122325,3812,,
0.739918,3813,,
0.122325,3814,,
0.008879,3815,,
0.350485,3816,,
0.534146,3817,,
0.911413,3818,,
0.350485,3819,,
0.122325,3820,,
0.534146,3821,,
0.350485,3822,,
0.534146,3823,,
0.350485,3824,,
0.008879,3825,,
0.213309,3826,,
0.350485,3827,,
0.739918,3828,,
0.739918,3829,,
0.008879,3830,,
0.350485,3831,,
0.534146,3832,,
0.739918,3833,,
0.213309,3834,,
0.350485,3835,,
0.534146,3836,,
0.213309,3837,,
0.534146,3838,,
0.911413,3839,,
0.035174,3840,,
0.350485,3841,,
0.008879,3842,,
0.035174,3843,,
0.066882,3844,,
0.350485,3845,,
0.350485,3846,,
0.350485,3847,,
0.122325,3848,,
0.122325,3849,,
