p_value, coning, f-vector-dim-1, f-vector-dim-2
0.534146,3750,,
0.350485,3750,,
0.350485,3751,,
0.739918,3751,,
0.008879,3752,,
0.017912,3752,,
0.534146,3753,,
0.213309,3753,,
0.035174,3754,,
0.350485,3754,,
0.350485,3755,,
0.122325,3755,,
0.350485,3756,,
0.534146,3756,,
0.066882,3757,,
0.122325,3757,,
0.534146,3758,,
0.035174,3758,,
0.350485,3759,,
0.350485,3759,,
0.004301,3760,,
0.004301,3760,,
0.739918,3761,,
0.122325,3761,,
0.066882,3762,,
0.017912,3762,,
0.035174,3763,,
0.066882,3763,,
0.017912,3764,,
0.213309,3764,,
0.122325,3765,,
0.213309,3765,,
0.002043,3766,,
0.350485,3766,,
0.911413,3767,,
0.213309,3767,,
0.213309,3768,,
0.350485,3768,,
0.534146,3769,,
0.122325,3769,,
0.739918,3770,,
0.911413,3770,,
0.739918,3771,,
0.350485,3771,,
0.911413,3772,,
0.350485,3772,,
0.213309,3773,,
0.066882,3773,,
0.350485,3774,,
0.534146,3774,,
0.911413,3775,,
0.350485,3775,,
0.000199,3776,,
0.000954,3776,,
0.008879,3777,,
0.008879,3777,,
0.066882,3778,,
0.035174,3778,,
0.002043,3779,,
0.122325,3779,,
0.213309,3780,,
0.017912,3780,,
0.534146,3781,,
0.066882,3781,,
0.739918,3782,,
0.017912,3782,,
0.004301,3783,,
0.008879,3783,,
0.008879,3784,,
0.008879,3784,,
0.035174,3785,,
0.739918,3785,,
0.017912,3786,,
0.122325,3786,,
0.213309,3787,,
0.213309,3787,,
0.350485,3788,,
0.213309,3788,,
0.035174,3789,,
0.534146,3789,,
0.035174,3790,,
0.008879,3790,,
0.739918,3791,,
0.739918,3791,,
0.122325,3792,,
0.122325,3792,,
0.213309,3793,,
0.350485,3793,,
0.213309,3794,,
0.534146,3794,,
0.991468,3795,,
0.534146,3795,,
0.350485,3796,,
0.035174,3796,,
0.350485,3797,,
0.122325,3797,,
0.534146,3798,,
0.739918,3798,,
0.350485,3799,,
0.035174,3799,,
0.534146,3800,,
0.122325,3800,,
1e-06,3801,,
0.000439,3801,,
0.122325,3802,,
0.008879,3802,,
0.534146,3803,,
0.739918,3803,,
0.991468,3804,,
0.911413,3804,,
0.534146,3805,,
0.739918,3805,,
0.350485,3806,,
0.739918,3806,,
0.350485,3807,,
0.911413,3807,,
0.008879,3808,,
0.350485,3808,,
0.350485,3809,,
0.534146,3809,,
0.122325,3810,,
0.213309,3810,,
0.002043,3811,,
0.017912,3811,,
0.000954,3812,,
0.066882,3812,,
0.350485,3813,,
0.350485,3813,,
0.739918,3814,,
0.350485,3814,,
0.122325,3815,,
0.035174,3815,,
0.534146,3816,,
0.122325,3816,,
0.911413,3817,,
0.739918,3817,,
0.739918,3818,,
0.350485,3818,,
0.122325,3819,,
0.534146,3819,,
0.122325,3820,,
0.911413,3820,,
0.534146,3821,,
0.534146,3821,,
0.213309,3822,,
0.739918,3822,,
0.350485,3823,,
0.350485,3823,,
0.002043,3824,,
0.002043,3824,,
0.213309,3825,,
0.534146,3825,,
0.122325,3826,,
0.066882,3826,,
0.122325,3827,,
0.911413,3827,,
0.911413,3828,,
0.739918,3828,,
0.122325,3829,,
0.534146,3829,,
0.534146,3830,,
0.066882,3830,,
0.350485,3831,,
0.911413,3831,,
0.739918,3832,,
0.739918,3832,,
0.350485,3833,,
0.122325,3833,,
0.008879,3834,,
0.122325,3834,,
0.739918,3835,,
0.350485,3835,,
0.350485,3836,,
0.739918,3836,,
0.350485,3837,,
0.739918,3837,,
0.066882,3838,,
0.911413,3838,,
0.213309,3839,,
0.350485,3839,,
0.0,3840,,
0.0,3840,,
0.000199,3841,,
3e-06,3841,,
0.122325,3842,,
0.008879,3842,,
0.035174,3843,,
0.122325,3843,,
0.017912,3844,,
0.017912,3844,,
0.122325,3845,,
0.350485,3845,,
0.350485,3846,,
0.739918,3846,,
0.008879,3847,,
0.008879,3847,,
0.035174,3848,,
0.122325,3848,,
0.017912,3849,,
0.008879,3849,,
