p_value, coning, f-vector-dim-1, f-vector-dim-2
0.534146,3750,,
0.350485,3751,,
0.350485,3752,,
0.739918,3753,,
0.534146,3754,,
0.534146,3755,,
0.350485,3756,,
0.534146,3757,,
0.534146,3758,,
0.350485,3759,,
0.350485,3760,,
0.213309,3761,,
0.739918,3762,,
0.035174,3763,,
0.534146,3764,,
0.739918,3765,,
0.122325,3766,,
0.534146,3767,,
0.534146,3768,,
0.534146,3769,,
0.534146,3770,,
0.534146,3771,,
0.739918,3772,,
0.739918,3773,,
0.122325,3774,,
0.122325,3775,,
0.213309,3776,,
0.739918,3777,,
0.350485,3778,,
0.350485,3779,,
0.739918,3780,,
0.534146,3781,,
0.534146,3782,,
0.017912,3783,,
0.534146,3784,,
0.350485,3785,,
0.911413,3786,,
0.122325,3787,,
0.739918,3788,,
0.350485,3789,,
0.534146,3790,,
0.739918,3791,,
0.739918,3792,,
0.911413,3793,,
0.213309,3794,,
0.739918,3795,,
0.066882,3796,,
0.213309,3797,,
0.534146,3798,,
0.213309,3799,,
0.739918,3800,,
0.122325,3801,,
0.122325,3802,,
0.534146,3803,,
0.911413,3804,,
0.213309,3805,,
0.035174,3806,,
0.739918,3807,,
0.911413,3808,,
0.739918,3809,,
0.911413,3810,,
0.911413,3811,,
0.911413,3812,,
0.911413,3813,,
0.739918,3814,,
0.739918,3815,,
0.739918,3816,,
0.534146,3817,,
0.739918,3818,,
0.122325,3819,,
0.213309,3820,,
0.534146,3821,,
0.534146,3822,,
0.534146,3823,,
0.739918,3824,,
0.534146,3825,,
0.350485,3826,,
0.350485,3827,,
0.911413,3828,,
0.017912,3829,,
0.911413,3830,,
0.739918,3831,,
0.350485,3832,,
0.739918,3833,,
0.739918,3834,,
0.911413,3835,,
0.739918,3836,,
0.534146,3837,,
0.739918,3838,,
0.739918,3839,,
0.534146,3840,,
0.534146,3841,,
0.534146,3842,,
0.739918,3843,,
0.534146,3844,,
0.350485,3845,,
0.350485,3846,,
0.122325,3847,,
0.066882,3848,,
0.122325,3849,,
