p_value, coning, f-vector-dim-1, f-vector-dim-2
0.213309,3750,,
0.213309,3751,,
0.000439,3752,,
0.122325,3753,,
0.350485,3754,,
0.534146,3755,,
0.350485,3756,,
0.122325,3757,,
0.739918,3758,,
0.350485,3759,,
0.002043,3760,,
0.066882,3761,,
0.350485,3762,,
0.122325,3763,,
0.122325,3764,,
0.122325,3765,,
0.350485,3766,,
0.534146,3767,,
0.213309,3768,,
0.534146,3769,,
0.534146,3770,,
0.122325,3771,,
0.122325,3772,,
0.213309,3773,,
0.911413,3774,,
0.739918,3775,,
1e-06,3776,,
0.122325,3777,,
0.008879,3778,,
0.008879,3779,,
0.122325,3780,,
0.350485,3781,,
0.350485,3782,,
0.004301,3783,,
0.002043,3784,,
0.911413,3785,,
0.066882,3786,,
0.534146,3787,,
0.534146,3788,,
0.739918,3789,,
0.000199,3790,,
0.739918,3791,,
0.004301,3792,,
0.350485,3793,,
0.122325,3794,,
0.213309,3795,,
0.350485,3796,,
0.350485,3797,,
0.534146,3798,,
0.017912,3799,,
0.911413,3800,,
0.000199,3801,,
0.122325,3802,,
0.739918,3803,,
0.911413,3804,,
0.534146,3805,,
0.534146,3806,,
0.739918,3807,,
0.911413,3808,,
0.739918,3809,,
0.534146,3810,,
0.035174,3811,,
0.008879,3812,,
0.122325,3813,,
0.911413,3814,,
0.008879,3815,,
0.534146,3816,,
0.350485,3817,,
0.911413,3818,,
0.122325,3819,,
0.534146,3820,,
0.534146,3821,,
0.534146,3822,,
0.534146,3823,,
0.008879,3824,,
0.122325,3825,,
0.066882,3826,,
0.739918,3827,,
0.739918,3828,,
0.991468,3829,,
0.350485,3830,,
0.350485,3831,,
0.534146,3832,,
0.739918,3833,,
0.017912,3834,,
0.534146,3835,,
0.739918,3836,,
0.350485,3837,,
0.534146,3838,,
0.739918,3839,,
0.0,3840,,
1e-06,3841,,
0.004301,3842,,
0.350485,3843,,
0.008879,3844,,
0.350485,3845,,
0.350485,3846,,
0.008879,3847,,
0.017912,3848,,
4e-05,3849,,
