p_value, coning, f-vector-dim-1, f-vector-dim-2
0.739918,3750,,
0.534146,3751,,
0.739918,3752,,
0.739918,3753,,
0.534146,3754,,
0.350485,3755,,
0.122325,3756,,
0.911413,3757,,
0.739918,3758,,
0.911413,3759,,
0.122325,3760,,
0.066882,3761,,
0.534146,3762,,
0.534146,3763,,
0.017912,3764,,
0.911413,3765,,
0.350485,3766,,
0.534146,3767,,
0.350485,3768,,
0.991468,3769,,
0.066882,3770,,
0.739918,3771,,
0.213309,3772,,
0.739918,3773,,
0.534146,3774,,
0.534146,3775,,
0.350485,3776,,
0.350485,3777,,
0.350485,3778,,
0.534146,3779,,
0.122325,3780,,
0.066882,3781,,
0.350485,3782,,
0.739918,3783,,
0.534146,3784,,
0.739918,3785,,
0.350485,3786,,
0.991468,3787,,
0.350485,3788,,
0.739918,3789,,
0.739918,3790,,
0.122325,3791,,
0.534146,3792,,
0.739918,3793,,
0.122325,3794,,
0.911413,3795,,
0.911413,3796,,
0.739918,3797,,
0.534146,3798,,
0.122325,3799,,
0.350485,3800,,
0.122325,3801,,
0.739918,3802,,
0.534146,3803,,
0.534146,3804,,
0.534146,3805,,
0.739918,3806,,
0.739918,3807,,
0.534146,3808,,
0.122325,3809,,
0.739918,3810,,
0.350485,3811,,
0.122325,3812,,
0.534146,3813,,
0.739918,3814,,
0.911413,3815,,
0.534146,3816,,
0.066882,3817,,
0.739918,3818,,
0.350485,3819,,
0.739918,3820,,
0.213309,3821,,
0.739918,3822,,
0.739918,3823,,
0.534146,3824,,
0.739918,3825,,
0.534146,3826,,
0.534146,3827,,
0.911413,3828,,
0.350485,3829,,
0.534146,3830,,
0.350485,3831,,
0.991468,3832,,
0.066882,3833,,
0.350485,3834,,
0.739918,3835,,
0.534146,3836,,
0.213309,3837,,
0.534146,3838,,
0.911413,3839,,
0.035174,3840,,
0.739918,3841,,
0.534146,3842,,
0.350485,3843,,
0.911413,3844,,
0.739918,3845,,
0.213309,3846,,
0.534146,3847,,
0.534146,3848,,
0.350485,3849,,
