p_value, coning, f-vector-dim-1, f-vector-dim-2
0.991468,3750,,
0.911413,3751,,
0.739918,3752,,
0.739918,3753,,
0.066882,3754,,
0.534146,3755,,
0.739918,3756,,
0.350485,3757,,
0.911413,3758,,
0.739918,3759,,
0.739918,3760,,
0.739918,3761,,
0.534146,3762,,
0.534146,3763,,
0.534146,3764,,
0.739918,3765,,
0.350485,3766,,
0.534146,3767,,
0.739918,3768,,
0.534146,3769,,
0.350485,3770,,
0.739918,3771,,
0.739918,3772,,
0.911413,3773,,
0.122325,3774,,
0.739918,3775,,
0.066882,3776,,
0.534146,3777,,
0.911413,3778,,
0.017912,3779,,
0.122325,3780,,
0.035174,3781,,
0.350485,3782,,
0.350485,3783,,
0.911413,3784,,
0.035174,3785,,
0.213309,3786,,
0.035174,3787,,
0.534146,3788,,
0.122325,3789,,
0.911413,3790,,
0.122325,3791,,
0.739918,3792,,
0.739918,3793,,
0.534146,3794,,
0.739918,3795,,
0.534146,3796,,
0.739918,3797,,
0.350485,3798,,
0.739918,3799,,
0.534146,3800,,
0.350485,3801,,
0.000439,3802,,
0.534146,3803,,
0.911413,3804,,
0.350485,3805,,
0.534146,3806,,
0.739918,3807,,
0.911413,3808,,
0.213309,3809,,
0.911413,3810,,
0.534146,3811,,
0.911413,3812,,
0.350485,3813,,
0.350485,3814,,
0.534146,3815,,
0.739918,3816,,
0.350485,3817,,
0.534146,3818,,
0.066882,3819,,
0.911413,3820,,
0.739918,3821,,
0.350485,3822,,
0.739918,3823,,
0.534146,3824,,
0.350485,3825,,
0.739918,3826,,
0.739918,3827,,
0.534146,3828,,
0.017912,3829,,
0.534146,3830,,
0.534146,3831,,
0.911413,3832,,
0.534146,3833,,
0.911413,3834,,
0.534146,3835,,
0.035174,3836,,
0.350485,3837,,
0.534146,3838,,
0.350485,3839,,
0.911413,3840,,
0.739918,3841,,
0.122325,3842,,
0.350485,3843,,
0.534146,3844,,
0.739918,3845,,
0.534146,3846,,
0.739918,3847,,
0.122325,3848,,
0.739918,3849,,
