p_value, coning, f-vector-dim-1, f-vector-dim-2
0.534146,3750,,
0.739918,3751,,
0.534146,3752,,
0.122325,3753,,
0.911413,3754,,
0.350485,3755,,
0.350485,3756,,
0.534146,3757,,
0.911413,3758,,
0.534146,3759,,
0.534146,3760,,
0.122325,3761,,
0.534146,3762,,
0.534146,3763,,
0.534146,3764,,
0.122325,3765,,
0.213309,3766,,
0.534146,3767,,
0.122325,3768,,
0.534146,3769,,
0.350485,3770,,
0.350485,3771,,
0.350485,3772,,
0.911413,3773,,
0.534146,3774,,
0.213309,3775,,
0.534146,3776,,
0.534146,3777,,
0.911413,3778,,
0.122325,3779,,
0.534146,3780,,
0.739918,3781,,
0.066882,3782,,
0.739918,3783,,
0.122325,3784,,
0.350485,3785,,
0.911413,3786,,
0.534146,3787,,
0.739918,3788,,
0.534146,3789,,
0.534146,3790,,
0.350485,3791,,
0.066882,3792,,
0.739918,3793,,
0.350485,3794,,
0.122325,3795,,
0.350485,3796,,
0.739918,3797,,
0.534146,3798,,
0.350485,3799,,
0.911413,3800,,
0.739918,3801,,
0.534146,3802,,
0.122325,3803,,
0.739918,3804,,
0.213309,3805,,
0.213309,3806,,
0.739918,3807,,
0.350485,3808,,
0.122325,3809,,
0.739918,3810,,
0.213309,3811,,
0.911413,3812,,
0.534146,3813,,
0.350485,3814,,
0.350485,3815,,
0.739918,3816,,
0.534146,3817,,
0.122325,3818,,
0.008879,3819,,
0.739918,3820,,
0.066882,3821,,
0.017912,3822,,
0.534146,3823,,
0.739918,3824,,
0.350485,3825,,
0.534146,3826,,
0.739918,3827,,
0.911413,3828,,
0.739918,3829,,
0.122325,3830,,
0.911413,3831,,
0.350485,3832,,
0.534146,3833,,
0.350485,3834,,
0.739918,3835,,
0.350485,3836,,
0.534146,3837,,
0.739918,3838,,
0.534146,3839,,
0.739918,3840,,
0.350485,3841,,
0.739918,3842,,
0.122325,3843,,
0.534146,3844,,
0.017912,3845,,
0.739918,3846,,
0.911413,3847,,
0.534146,3848,,
0.350485,3849,,
