p_value, coning, f-vector-dim-1, f-vector-dim-2
0.122325,3750,,
0.534146,3751,,
0.350485,3752,,
0.739918,3753,,
0.122325,3754,,
0.739918,3755,,
0.534146,3756,,
0.122325,3757,,
0.739918,3758,,
0.350485,3759,,
0.534146,3760,,
0.534146,3761,,
0.991468,3762,,
0.122325,3763,,
0.122325,3764,,
0.122325,3765,,
0.739918,3766,,
0.035174,3767,,
0.534146,3768,,
0.911413,3769,,
0.017912,3770,,
0.350485,3771,,
0.739918,3772,,
0.534146,3773,,
0.991468,3774,,
0.534146,3775,,
0.739918,3776,,
0.534146,3777,,
0.534146,3778,,
0.534146,3779,,
0.350485,3780,,
0.534146,3781,,
0.122325,3782,,
0.122325,3783,,
0.534146,3784,,
0.534146,3785,,
0.991468,3786,,
0.739918,3787,,
0.739918,3788,,
0.066882,3789,,
0.534146,3790,,
0.213309,3791,,
0.739918,3792,,
0.350485,3793,,
0.213309,3794,,
0.534146,3795,,
0.739918,3796,,
0.350485,3797,,
0.350485,3798,,
0.534146,3799,,
0.534146,3800,,
0.350485,3801,,
0.911413,3802,,
0.534146,3803,,
0.350485,3804,,
0.350485,3805,,
0.122325,3806,,
0.213309,3807,,
0.213309,3808,,
0.739918,3809,,
0.035174,3810,,
0.350485,3811,,
0.534146,3812,,
0.739918,3813,,
0.739918,3814,,
0.534146,3815,,
0.213309,3816,,
0.739918,3817,,
0.350485,3818,,
0.534146,3819,,
0.911413,3820,,
0.350485,3821,,
0.350485,3822,,
0.035174,3823,,
0.534146,3824,,
0.534146,3825,,
0.350485,3826,,
0.911413,3827,,
0.350485,3828,,
0.911413,3829,,
0.739918,3830,,
0.213309,3831,,
0.122325,3832,,
0.350485,3833,,
0.066882,3834,,
0.350485,3835,,
0.739918,3836,,
0.350485,3837,,
0.534146,3838,,
0.350485,3839,,
0.739918,3840,,
0.350485,3841,,
0.017912,3842,,
0.350485,3843,,
0.739918,3844,,
0.739918,3845,,
0.350485,3846,,
0.911413,3847,,
0.991468,3848,,
0.739918,3849,,
