p_value, coning, f-vector-dim-1, f-vector-dim-2
0.350485,3750,,
0.739918,3751,,
0.004301,3752,,
0.350485,3753,,
0.739918,3754,,
0.534146,3755,,
0.122325,3756,,
0.213309,3757,,
0.534146,3758,,
0.350485,3759,,
0.350485,3760,,
0.739918,3761,,
0.534146,3762,,
0.534146,3763,,
0.213309,3764,,
0.739918,3765,,
0.534146,3766,,
0.534146,3767,,
0.122325,3768,,
0.739918,3769,,
0.213309,3770,,
0.350485,3771,,
0.008879,3772,,
0.213309,3773,,
0.534146,3774,,
0.739918,3775,,
0.004301,3776,,
0.534146,3777,,
0.739918,3778,,
0.122325,3779,,
0.350485,3780,,
0.739918,3781,,
0.534146,3782,,
0.739918,3783,,
0.911413,3784,,
0.122325,3785,,
0.350485,3786,,
0.213309,3787,,
0.534146,3788,,
0.122325,3789,,
0.213309,3790,,
0.911413,3791,,
0.122325,3792,,
0.213309,3793,,
0.122325,3794,,
0.739918,3795,,
0.213309,3796,,
0.213309,3797,,
0.534146,3798,,
0.911413,3799,,
0.213309,3800,,
0.213309,3801,,
0.534146,3802,,
0.350485,3803,,
0.534146,3804,,
0.739918,3805,,
0.911413,3806,,
0.350485,3807,,
0.213309,3808,,
0.213309,3809,,
0.534146,3810,,
0.122325,3811,,
0.911413,3812,,
0.350485,3813,,
0.213309,3814,,
0.739918,3815,,
0.035174,3816,,
0.739918,3817,,
0.213309,3818,,
0.739918,3819,,
0.534146,3820,,
0.066882,3821,,
0.911413,3822,,
0.008879,3823,,
0.739918,3824,,
0.122325,3825,,
0.350485,3826,,
0.911413,3827,,
0.008879,3828,,
0.350485,3829,,
0.350485,3830,,
0.350485,3831,,
0.534146,3832,,
0.213309,3833,,
0.911413,3834,,
0.739918,3835,,
0.122325,3836,,
0.739918,3837,,
0.911413,3838,,
0.213309,3839,,
0.122325,3840,,
0.911413,3841,,
0.122325,3842,,
0.213309,3843,,
0.350485,3844,,
0.534146,3845,,
0.002043,3846,,
0.350485,3847,,
0.534146,3848,,
0.122325,3849,,
