p_value, coning, f-vector-dim-1, f-vector-dim-2
0.122325,3750,,
0.911413,3750,,
0.350485,3751,,
0.739918,3751,,
0.066882,3752,,
0.213309,3752,,
0.066882,3753,,
0.534146,3753,,
0.534146,3754,,
0.534146,3754,,
0.534146,3755,,
0.911413,3755,,
0.534146,3756,,
0.534146,3756,,
0.350485,3757,,
0.534146,3757,,
0.534146,3758,,
0.534146,3758,,
0.739918,3759,,
0.350485,3759,,
0.350485,3760,,
0.350485,3760,,
0.066882,3761,,
0.534146,3761,,
0.350485,3762,,
0.122325,3762,,
0.739918,3763,,
0.739918,3763,,
0.350485,3764,,
0.122325,3764,,
0.739918,3765,,
0.534146,3765,,
0.122325,3766,,
0.911413,3766,,
0.122325,3767,,
0.739918,3767,,
0.991468,3768,,
0.911413,3768,,
0.534146,3769,,
0.066882,3769,,
0.739918,3770,,
0.066882,3770,,
0.991468,3771,,
0.213309,3771,,
0.534146,3772,,
0.350485,3772,,
0.739918,3773,,
0.911413,3773,,
0.739918,3774,,
0.350485,3774,,
0.350485,3775,,
0.534146,3775,,
0.213309,3776,,
0.066882,3776,,
0.066882,3777,,
0.534146,3777,,
0.739918,3778,,
0.534146,3778,,
0.991468,3779,,
0.534146,3779,,
0.066882,3780,,
0.000439,3780,,
0.350485,3781,,
0.534146,3781,,
0.739918,3782,,
0.350485,3782,,
0.213309,3783,,
0.350485,3783,,
0.739918,3784,,
0.534146,3784,,
0.350485,3785,,
0.066882,3785,,
0.350485,3786,,
0.739918,3786,,
0.350485,3787,,
0.739918,3787,,
0.213309,3788,,
0.350485,3788,,
0.066882,3789,,
0.350485,3789,,
0.739918,3790,,
0.739918,3790,,
0.350485,3791,,
0.350485,3791,,
0.213309,3792,,
0.350485,3792,,
0.350485,3793,,
0.122325,3793,,
0.017912,3794,,
0.213309,3794,,
0.122325,3795,,
0.213309,3795,,
0.911413,3796,,
0.534146,3796,,
0.350485,3797,,
0.739918,3797,,
0.911413,3798,,
0.534146,3798,,
0.122325,3799,,
0.008879,3799,,
0.534146,3800,,
0.213309,3800,,
0.066882,3801,,
0.534146,3801,,
0.350485,3802,,
0.122325,3802,,
0.122325,3803,,
0.122325,3803,,
0.213309,3804,,
0.911413,3804,,
0.350485,3805,,
0.739918,3805,,
0.991468,3806,,
0.534146,3806,,
0.911413,3807,,
0.350485,3807,,
0.534146,3808,,
0.122325,3808,,
0.534146,3809,,
0.739918,3809,,
0.739918,3810,,
0.122325,3810,,
0.534146,3811,,
0.911413,3811,,
0.739918,3812,,
0.213309,3812,,
0.911413,3813,,
0.017912,3813,,
0.350485,3814,,
0.534146,3814,,
0.213309,3815,,
0.066882,3815,,
0.122325,3816,,
0.739918,3816,,
0.911413,3817,,
0.213309,3817,,
0.911413,3818,,
0.739918,3818,,
0.213309,3819,,
0.534146,3819,,
0.911413,3820,,
0.122325,3820,,
0.739918,3821,,
0.350485,3821,,
0.739918,3822,,
0.911413,3822,,
0.991468,3823,,
0.739918,3823,,
0.534146,3824,,
0.122325,3824,,
0.350485,3825,,
0.534146,3825,,
0.739918,3826,,
0.534146,3826,,
0.534146,3827,,
0.534146,3827,,
0.534146,3828,,
0.350485,3828,,
0.213309,3829,,
0.534146,3829,,
0.350485,3830,,
0.911413,3830,,
0.911413,3831,,
0.911413,3831,,
0.739918,3832,,
0.534146,3832,,
0.534146,3833,,
0.066882,3833,,
0.350485,3834,,
0.911413,3834,,
0.350485,3835,,
0.350485,3835,,
0.213309,3836,,
0.122325,3836,,
0.534146,3837,,
0.350485,3837,,
0.122325,3838,,
0.739918,3838,,
0.122325,3839,,
0.213309,3839,,
0.213309,3840,,
0.739918,3840,,
0.534146,3841,,
0.739918,3841,,
0.739918,3842,,
0.911413,3842,,
0.534146,3843,,
0.534146,3843,,
0.739918,3844,,
0.350485,3844,,
0.739918,3845,,
0.534146,3845,,
0.534146,3846,,
0.534146,3846,,
0.035174,3847,,
0.350485,3847,,
0.739918,3848,,
0.739918,3848,,
0.911413,3849,,
0.534146,3849,,
