p_value, coning, f-vector-dim-1, f-vector-dim-2
0.534146,3750,,
0.350485,3751,,
0.739918,3752,,
0.739918,3753,,
0.739918,3754,,
0.534146,3755,,
0.911413,3756,,
0.534146,3757,,
0.350485,3758,,
0.534146,3759,,
0.534146,3760,,
0.122325,3761,,
0.911413,3762,,
0.739918,3763,,
0.534146,3764,,
0.739918,3765,,
0.122325,3766,,
0.534146,3767,,
0.122325,3768,,
0.350485,3769,,
0.213309,3770,,
0.739918,3771,,
0.017912,3772,,
0.066882,3773,,
0.122325,3774,,
0.534146,3775,,
0.350485,3776,,
0.213309,3777,,
0.534146,3778,,
0.350485,3779,,
0.213309,3780,,
0.122325,3781,,
0.213309,3782,,
0.350485,3783,,
0.534146,3784,,
0.534146,3785,,
0.213309,3786,,
0.350485,3787,,
0.534146,3788,,
0.739918,3789,,
0.122325,3790,,
0.534146,3791,,
0.739918,3792,,
0.534146,3793,,
0.350485,3794,,
0.017912,3795,,
0.739918,3796,,
0.213309,3797,,
0.122325,3798,,
0.534146,3799,,
0.739918,3800,,
0.911413,3801,,
0.534146,3802,,
0.534146,3803,,
0.213309,3804,,
0.534146,3805,,
0.350485,3806,,
0.122325,3807,,
0.122325,3808,,
0.739918,3809,,
0.911413,3810,,
0.213309,3811,,
0.739918,3812,,
0.350485,3813,,
0.122325,3814,,
0.035174,3815,,
0.739918,3816,,
0.350485,3817,,
0.350485,3818,,
0.534146,3819,,
0.911413,3820,,
0.739918,3821,,
0.739918,3822,,
0.911413,3823,,
0.350485,3824,,
0.534146,3825,,
0.350485,3826,,
0.122325,3827,,
0.122325,3828,,
0.350485,3829,,
0.350485,3830,,
0.350485,3831,,
0.350485,3832,,
0.534146,3833,,
0.739918,3834,,
0.213309,3835,,
0.213309,3836,,
0.534146,3837,,
0.739918,3838,,
0.350485,3839,,
0.534146,3840,,
0.534146,3841,,
0.350485,3842,,
0.213309,3843,,
0.066882,3844,,
0.350485,3845,,
0.739918,3846,,
0.534146,3847,,
0.350485,3848,,
0.534146,3849,,
