p_value, coning, f-vector-dim-1, f-vector-dim-2
0.122325,1,,
0.534146,2,,
0.991468,3,,
0.122325,4,,
0.122325,5,,
0.739918,6,,
0.911413,7,,
0.534146,8,,
0.066882,9,,
0.066882,10,,
0.739918,11,,
0.534146,12,,
0.350485,13,,
0.739918,14,,
0.213309,15,,
0.534146,16,,
0.991468,17,,
0.739918,18,,
0.213309,19,,
0.035174,20,,
0.911413,21,,
0.739918,22,,
0.911413,23,,
0.534146,24,,
0.350485,25,,
0.739918,26,,
0.017912,27,,
0.350485,28,,
0.534146,29,,
0.739918,30,,
0.066882,31,,
0.350485,32,,
0.534146,33,,
0.739918,34,,
0.739918,35,,
0.534146,36,,
0.350485,37,,
0.350485,38,,
0.350485,39,,
0.122325,40,,
0.911413,41,,
0.739918,42,,
0.739918,43,,
0.534146,44,,
0.213309,45,,
0.534146,46,,
0.350485,47,,
0.350485,48,,
0.911413,49,,
0.350485,50,,
0.534146,51,,
0.213309,52,,
0.017912,53,,
0.739918,54,,
0.213309,55,,
0.739918,56,,
0.350485,57,,
0.066882,58,,
0.739918,59,,
0.739918,60,,
0.739918,61,,
0.534146,62,,
0.213309,63,,
0.739918,64,,
0.122325,65,,
0.739918,66,,
0.534146,67,,
0.739918,68,,
0.213309,69,,
0.534146,70,,
0.534146,71,,
0.534146,72,,
0.739918,73,,
0.213309,74,,
0.213309,75,,
0.534146,76,,
0.350485,77,,
0.911413,78,,
0.066882,79,,
0.739918,80,,
0.350485,81,,
0.534146,82,,
0.534146,83,,
0.534146,84,,
0.213309,85,,
0.911413,86,,
0.739918,87,,
0.739918,88,,
0.739918,89,,
0.534146,90,,
0.739918,91,,
0.008879,92,,
0.739918,93,,
0.350485,94,,
0.739918,95,,
0.739918,96,,
0.534146,97,,
0.213309,98,,
0.739918,99,,
0.534146,100,,
