p_value, coning, f-vector-dim-1, f-vector-dim-2
0.350485,1,,
0.739918,2,,
0.739918,3,,
0.534146,4,,
0.350485,5,,
0.739918,6,,
0.534146,7,,
0.534146,8,,
0.213309,9,,
0.213309,10,,
0.350485,11,,
0.122325,12,,
0.911413,13,,
0.122325,14,,
0.739918,15,,
0.213309,16,,
0.122325,17,,
0.350485,18,,
0.350485,19,,
0.911413,20,,
0.035174,21,,
0.213309,22,,
0.213309,23,,
0.739918,24,,
0.350485,25,,
0.350485,26,,
0.122325,27,,
0.534146,28,,
0.739918,29,,
0.122325,30,,
0.035174,31,,
0.911413,32,,
0.739918,33,,
0.035174,34,,
0.534146,35,,
0.213309,36,,
0.534146,37,,
0.534146,38,,
0.350485,39,,
0.739918,40,,
0.534146,41,,
0.350485,42,,
0.534146,43,,
0.534146,44,,
0.534146,45,,
0.534146,46,,
0.066882,47,,
0.739918,48,,
0.035174,49,,
0.122325,50,,
0.534146,51,,
0.350485,52,,
0.739918,53,,
0.534146,54,,
0.122325,55,,
0.739918,56,,
0.739918,57,,
0.911413,58,,
0.534146,59,,
0.534146,60,,
0.534146,61,,
0.350485,62,,
0.350485,63,,
0.739918,64,,
0.911413,65,,
0.035174,66,,
0.000439,67,,
0.213309,68,,
0.122325,69,,
0.739918,70,,
0.739918,71,,
0.534146,72,,
0.122325,73,,
0.534146,74,,
0.350485,75,,
0.911413,76,,
0.122325,77,,
0.350485,78,,
0.350485,79,,
0.911413,80,,
0.911413,81,,
0.534146,82,,
0.739918,83,,
0.122325,84,,
0.035174,85,,
0.739918,86,,
0.739918,87,,
0.122325,88,,
0.911413,89,,
0.534146,90,,
0.350485,91,,
0.739918,92,,
0.350485,93,,
0.035174,94,,
0.008879,95,,
0.213309,96,,
0.534146,97,,
0.739918,98,,
0.213309,99,,
0.534146,100,,
