p_value, coning, f-vector-dim-1, f-vector-dim-2
0.534146,1,,
0.350485,1,,
0.122325,2,,
0.213309,2,,
0.002043,3,,
0.008879,3,,
0.004301,4,,
0.066882,4,,
0.739918,5,,
0.534146,5,,
0.213309,6,,
0.350485,6,,
0.004301,7,,
0.017912,7,,
0.000439,8,,
0.017912,8,,
0.739918,9,,
0.739918,9,,
0.122325,10,,
0.350485,10,,
0.350485,11,,
0.066882,11,,
0.911413,12,,
0.122325,12,,
0.739918,13,,
0.534146,13,,
0.002043,14,,
0.035174,14,,
0.122325,15,,
0.004301,15,,
0.991468,16,,
0.739918,16,,
0.122325,17,,
0.035174,17,,
0.213309,18,,
0.213309,18,,
0.066882,19,,
0.534146,19,,
0.213309,20,,
0.534146,20,,
0.350485,21,,
0.122325,21,,
0.122325,22,,
0.350485,22,,
0.213309,23,,
0.739918,23,,
0.122325,24,,
0.035174,24,,
0.911413,25,,
0.534146,25,,
0.534146,26,,
0.911413,26,,
1e-06,27,,
3e-06,27,,
0.035174,28,,
0.066882,28,,
0.004301,29,,
0.350485,29,,
0.534146,30,,
0.350485,30,,
0.000439,31,,
8.9e-05,31,,
0.350485,32,,
0.066882,32,,
0.534146,33,,
0.350485,33,,
0.122325,34,,
0.122325,34,,
0.213309,35,,
0.213309,35,,
0.350485,36,,
0.122325,36,,
0.739918,37,,
0.066882,37,,
0.017912,38,,
0.122325,38,,
0.000439,39,,
0.122325,39,,
0.350485,40,,
0.066882,40,,
0.534146,41,,
0.739918,41,,
0.008879,42,,
0.008879,42,,
0.008879,43,,
0.534146,43,,
0.739918,44,,
0.534146,44,,
0.035174,45,,
0.350485,45,,
0.004301,46,,
0.122325,46,,
0.017912,47,,
0.000199,47,,
0.350485,48,,
0.739918,48,,
0.739918,49,,
0.739918,49,,
0.534146,50,,
0.122325,50,,
0.017912,51,,
0.017912,51,,
0.534146,52,,
0.213309,52,,
0.911413,53,,
0.534146,53,,
0.122325,54,,
0.035174,54,,
0.008879,55,,
0.008879,55,,
0.911413,56,,
0.213309,56,,
0.350485,57,,
0.534146,57,,
0.534146,58,,
0.534146,58,,
0.122325,59,,
0.213309,59,,
0.739918,60,,
0.739918,60,,
0.122325,61,,
0.534146,61,,
0.000199,62,,
0.000439,62,,
0.008879,63,,
0.122325,63,,
0.017912,64,,
0.017912,64,,
0.911413,65,,
0.991468,65,,
0.122325,66,,
0.350485,66,,
0.017912,67,,
0.002043,67,,
0.350485,68,,
0.350485,68,,
0.122325,69,,
0.066882,69,,
0.911413,70,,
0.066882,70,,
0.911413,71,,
0.350485,71,,
0.534146,72,,
0.534146,72,,
0.739918,73,,
0.213309,73,,
0.008879,74,,
0.008879,74,,
0.534146,75,,
0.213309,75,,
0.739918,76,,
0.739918,76,,
0.534146,77,,
0.350485,77,,
0.122325,78,,
0.350485,78,,
0.000199,79,,
0.008879,79,,
0.534146,80,,
0.739918,80,,
0.122325,81,,
0.000439,81,,
0.066882,82,,
0.534146,82,,
0.066882,83,,
0.008879,83,,
0.911413,84,,
0.534146,84,,
0.066882,85,,
0.066882,85,,
0.066882,86,,
0.066882,86,,
0.122325,87,,
0.066882,87,,
0.350485,88,,
0.534146,88,,
0.213309,89,,
0.122325,89,,
0.534146,90,,
0.122325,90,,
0.000199,91,,
0.008879,91,,
0.534146,92,,
0.534146,92,,
0.122325,93,,
0.122325,93,,
0.534146,94,,
0.066882,94,,
0.035174,95,,
0.213309,95,,
0.991468,96,,
0.739918,96,,
0.534146,97,,
0.002043,97,,
0.350485,98,,
0.534146,98,,
0.122325,99,,
0.066882,99,,
0.066882,100,,
0.035174,100,,
