p_value, coning, f-vector-dim-1, f-vector-dim-2
0.534146,1,,
0.534146,2,,
0.213309,3,,
0.350485,4,,
0.066882,5,,
0.534146,6,,
0.350485,7,,
0.739918,8,,
0.035174,9,,
0.534146,10,,
0.350485,11,,
0.008879,12,,
0.739918,13,,
0.534146,14,,
0.066882,15,,
0.534146,16,,
0.122325,17,,
0.911413,18,,
0.350485,19,,
0.350485,20,,
0.911413,21,,
0.122325,22,,
0.739918,23,,
0.350485,24,,
0.991468,25,,
0.534146,26,,
0.739918,27,,
0.213309,28,,
0.911413,29,,
0.534146,30,,
0.739918,31,,
0.911413,32,,
0.350485,33,,
0.066882,34,,
0.739918,35,,
0.739918,36,,
0.534146,37,,
0.350485,38,,
0.534146,39,,
0.739918,40,,
0.739918,41,,
0.534146,42,,
0.739918,43,,
0.991468,44,,
0.534146,45,,
0.534146,46,,
0.534146,47,,
0.213309,48,,
0.534146,49,,
0.213309,50,,
0.739918,51,,
0.350485,52,,
0.739918,53,,
0.739918,54,,
0.534146,55,,
0.122325,56,,
0.035174,57,,
0.911413,58,,
0.911413,59,,
0.350485,60,,
0.739918,61,,
0.739918,62,,
0.739918,63,,
0.350485,64,,
0.350485,65,,
0.911413,66,,
0.213309,67,,
0.739918,68,,
0.534146,69,,
0.350485,70,,
0.911413,71,,
0.534146,72,,
0.534146,73,,
0.534146,74,,
0.122325,75,,
0.739918,76,,
0.739918,77,,
0.122325,78,,
0.534146,79,,
0.066882,80,,
0.350485,81,,
0.213309,82,,
0.991468,83,,
0.534146,84,,
0.739918,85,,
0.739918,86,,
0.534146,87,,
0.739918,88,,
0.122325,89,,
0.534146,90,,
0.534146,91,,
0.739918,92,,
0.911413,93,,
0.066882,94,,
0.122325,95,,
0.739918,96,,
0.534146,97,,
0.534146,98,,
0.911413,99,,
0.534146,100,,
