p_value, coning, f-vector-dim-1, f-vector-dim-2
0.213309,1,,
0.350485,2,,
0.008879,3,,
0.002043,4,,
0.350485,5,,
0.534146,6,,
0.122325,7,,
0.002043,8,,
0.350485,9,,
0.122325,10,,
0.122325,11,,
0.534146,12,,
0.534146,13,,
0.017912,14,,
0.122325,15,,
0.534146,16,,
0.066882,17,,
0.213309,18,,
0.534146,19,,
0.122325,20,,
0.213309,21,,
0.122325,22,,
0.350485,23,,
0.122325,24,,
0.350485,25,,
0.350485,26,,
1e-06,27,,
0.066882,28,,
0.122325,29,,
0.350485,30,,
0.008879,31,,
0.534146,32,,
0.350485,33,,
0.035174,34,,
0.017912,35,,
0.122325,36,,
0.350485,37,,
0.017912,38,,
0.017912,39,,
0.350485,40,,
0.739918,41,,
0.000199,42,,
0.066882,43,,
0.534146,44,,
0.739918,45,,
0.035174,46,,
0.004301,47,,
0.066882,48,,
0.350485,49,,
0.534146,50,,
0.017912,51,,
0.035174,52,,
0.534146,53,,
0.534146,54,,
0.000199,55,,
0.739918,56,,
0.739918,57,,
0.350485,58,,
0.002043,59,,
0.739918,60,,
0.122325,61,,
0.000439,62,,
0.122325,63,,
0.017912,64,,
0.534146,65,,
0.035174,66,,
0.004301,67,,
0.213309,68,,
0.066882,69,,
0.911413,70,,
0.534146,71,,
0.534146,72,,
0.350485,73,,
0.004301,74,,
0.213309,75,,
0.911413,76,,
0.534146,77,,
0.002043,78,,
0.000199,79,,
0.350485,80,,
0.017912,81,,
0.066882,82,,
0.008879,83,,
0.213309,84,,
0.122325,85,,
0.035174,86,,
0.350485,87,,
0.739918,88,,
0.008879,89,,
0.213309,90,,
0.000199,91,,
0.122325,92,,
0.213309,93,,
0.035174,94,,
0.066882,95,,
0.739918,96,,
0.350485,97,,
0.213309,98,,
0.017912,99,,
0.350485,100,,
