p_value, coning, f-vector-dim-1, f-vector-dim-2
0.739918,1,,
0.066882,2,,
0.739918,3,,
0.534146,4,,
0.911413,5,,
0.739918,6,,
0.911413,7,,
0.739918,8,,
0.991468,9,,
0.534146,10,,
0.008879,11,,
0.122325,12,,
0.213309,13,,
0.911413,14,,
0.122325,15,,
0.534146,16,,
0.534146,17,,
0.739918,18,,
0.350485,19,,
0.122325,20,,
0.911413,21,,
0.534146,22,,
0.035174,23,,
0.739918,24,,
0.350485,25,,
0.534146,26,,
0.350485,27,,
0.534146,28,,
0.739918,29,,
0.350485,30,,
0.350485,31,,
0.213309,32,,
0.350485,33,,
0.350485,34,,
0.350485,35,,
0.350485,36,,
0.991468,37,,
0.122325,38,,
0.350485,39,,
0.350485,40,,
0.534146,41,,
0.739918,42,,
0.350485,43,,
0.350485,44,,
0.534146,45,,
0.066882,46,,
0.122325,47,,
0.534146,48,,
0.534146,49,,
0.739918,50,,
0.534146,51,,
0.534146,52,,
0.739918,53,,
0.213309,54,,
0.534146,55,,
0.911413,56,,
0.122325,57,,
0.350485,58,,
0.350485,59,,
0.534146,60,,
0.213309,61,,
0.534146,62,,
0.350485,63,,
0.350485,64,,
0.350485,65,,
0.739918,66,,
0.534146,67,,
0.534146,68,,
0.350485,69,,
0.122325,70,,
0.213309,71,,
0.350485,72,,
0.213309,73,,
0.534146,74,,
0.008879,75,,
0.350485,76,,
0.739918,77,,
0.911413,78,,
0.350485,79,,
0.008879,80,,
0.739918,81,,
0.035174,82,,
0.017912,83,,
0.911413,84,,
0.534146,85,,
0.534146,86,,
0.739918,87,,
0.739918,88,,
0.350485,89,,
0.350485,90,,
0.739918,91,,
0.911413,92,,
0.122325,93,,
0.911413,94,,
0.739918,95,,
0.350485,96,,
0.122325,97,,
0.534146,98,,
0.122325,99,,
0.739918,100,,
