p_value, coning, f-vector-dim-1, f-vector-dim-2
0.991468,1,,
0.534146,2,,
0.213309,3,,
0.213309,4,,
0.350485,5,,
0.534146,6,,
0.534146,7,,
0.122325,8,,
0.739918,9,,
0.213309,10,,
0.534146,11,,
0.534146,12,,
0.350485,13,,
0.739918,14,,
0.017912,15,,
0.350485,16,,
0.122325,17,,
0.035174,18,,
0.911413,19,,
0.911413,20,,
0.035174,21,,
0.350485,22,,
0.991468,23,,
0.035174,24,,
0.534146,25,,
0.213309,26,,
0.066882,27,,
0.213309,28,,
0.350485,29,,
0.213309,30,,
0.534146,31,,
0.534146,32,,
0.911413,33,,
0.008879,34,,
0.739918,35,,
0.911413,36,,
0.122325,37,,
0.739918,38,,
0.004301,39,,
0.739918,40,,
0.739918,41,,
0.534146,42,,
0.350485,43,,
0.911413,44,,
0.350485,45,,
0.122325,46,,
0.534146,47,,
0.122325,48,,
0.350485,49,,
0.911413,50,,
0.739918,51,,
0.122325,52,,
0.122325,53,,
0.350485,54,,
0.534146,55,,
0.911413,56,,
0.350485,57,,
0.739918,58,,
0.739918,59,,
0.122325,60,,
0.534146,61,,
0.350485,62,,
0.350485,63,,
0.534146,64,,
0.534146,65,,
0.350485,66,,
0.350485,67,,
0.350485,68,,
0.122325,69,,
0.122325,70,,
0.739918,71,,
0.350485,72,,
0.122325,73,,
0.534146,74,,
0.534146,75,,
0.066882,76,,
0.350485,77,,
0.213309,78,,
0.350485,79,,
0.350485,80,,
0.534146,81,,
0.122325,82,,
0.350485,83,,
0.911413,84,,
0.122325,85,,
0.213309,86,,
0.534146,87,,
0.213309,88,,
0.739918,89,,
0.122325,90,,
0.534146,91,,
0.739918,92,,
0.911413,93,,
0.122325,94,,
0.911413,95,,
0.213309,96,,
0.739918,97,,
0.122325,98,,
0.534146,99,,
0.534146,100,,
