p_value, coning, f-vector-dim-1, f-vector-dim-2
0.534146,1,,
0.534146,2,,
0.739918,3,,
0.534146,4,,
0.122325,5,,
0.350485,6,,
0.739918,7,,
0.911413,8,,
0.534146,9,,
0.350485,10,,
0.911413,11,,
0.911413,12,,
0.534146,13,,
0.911413,14,,
0.213309,15,,
0.122325,16,,
0.017912,17,,
0.739918,18,,
0.739918,19,,
0.350485,20,,
0.534146,21,,
0.911413,22,,
0.350485,23,,
0.739918,24,,
0.739918,25,,
0.534146,26,,
0.739918,27,,
0.911413,28,,
0.350485,29,,
0.739918,30,,
0.350485,31,,
0.350485,32,,
0.122325,33,,
0.213309,34,,
0.534146,35,,
0.739918,36,,
0.122325,37,,
0.350485,38,,
0.350485,39,,
0.035174,40,,
0.739918,41,,
0.739918,42,,
0.122325,43,,
0.534146,44,,
0.017912,45,,
0.350485,46,,
0.122325,47,,
0.534146,48,,
0.350485,49,,
0.350485,50,,
0.739918,51,,
0.350485,52,,
0.911413,53,,
0.213309,54,,
0.534146,55,,
0.534146,56,,
0.534146,57,,
0.066882,58,,
0.739918,59,,
0.350485,60,,
0.350485,61,,
0.991468,62,,
0.739918,63,,
0.739918,64,,
0.066882,65,,
0.739918,66,,
0.534146,67,,
0.350485,68,,
0.122325,69,,
0.534146,70,,
0.350485,71,,
0.534146,72,,
0.911413,73,,
0.350485,74,,
0.350485,75,,
0.534146,76,,
0.739918,77,,
0.534146,78,,
0.534146,79,,
0.739918,80,,
0.739918,81,,
0.739918,82,,
0.534146,83,,
0.739918,84,,
0.122325,85,,
0.739918,86,,
0.213309,87,,
0.739918,88,,
0.534146,89,,
0.350485,90,,
0.350485,91,,
0.534146,92,,
0.911413,93,,
0.534146,94,,
0.739918,95,,
0.991468,96,,
0.066882,97,,
0.739918,98,,
0.534146,99,,
0.739918,100,,
