p_value, coning, f-vector-dim-1, f-vector-dim-2
0.122325,1,,
0.534146,2,,
0.534146,3,,
0.350485,4,,
0.739918,5,,
0.911413,6,,
0.534146,7,,
0.066882,8,,
0.911413,9,,
0.350485,10,,
0.534146,11,,
0.213309,12,,
0.739918,13,,
0.213309,14,,
0.122325,15,,
0.534146,16,,
0.350485,17,,
0.350485,18,,
0.008879,19,,
0.350485,20,,
0.739918,21,,
0.534146,22,,
0.350485,23,,
0.739918,24,,
0.350485,25,,
0.213309,26,,
0.739918,27,,
0.911413,28,,
0.534146,29,,
0.911413,30,,
0.534146,31,,
0.350485,32,,
0.739918,33,,
0.911413,34,,
0.350485,35,,
0.035174,36,,
0.739918,37,,
0.350485,38,,
0.350485,39,,
0.911413,40,,
0.017912,41,,
0.534146,42,,
0.122325,43,,
0.534146,44,,
0.122325,45,,
0.122325,46,,
0.122325,47,,
0.035174,48,,
0.991468,49,,
0.739918,50,,
0.991468,51,,
0.534146,52,,
0.739918,53,,
0.739918,54,,
0.350485,55,,
0.911413,56,,
0.350485,57,,
0.739918,58,,
0.911413,59,,
0.911413,60,,
0.066882,61,,
0.213309,62,,
0.739918,63,,
0.350485,64,,
0.534146,65,,
0.122325,66,,
0.534146,67,,
0.122325,68,,
0.213309,69,,
0.066882,70,,
0.911413,71,,
0.350485,72,,
0.122325,73,,
0.534146,74,,
0.122325,75,,
0.739918,76,,
0.739918,77,,
0.534146,78,,
0.534146,79,,
0.534146,80,,
0.534146,81,,
0.350485,82,,
0.534146,83,,
0.350485,84,,
0.534146,85,,
0.534146,86,,
0.350485,87,,
0.534146,88,,
0.911413,89,,
0.122325,90,,
0.739918,91,,
0.350485,92,,
0.739918,93,,
0.035174,94,,
0.739918,95,,
0.911413,96,,
0.350485,97,,
0.350485,98,,
0.350485,99,,
0.213309,100,,
