p_value, coning, f-vector-dim-1, f-vector-dim-2
0.350485,1,,
0.066882,2,,
0.213309,3,,
0.739918,4,,
0.350485,5,,
0.534146,6,,
0.035174,7,,
0.350485,8,,
0.911413,9,,
0.911413,10,,
0.534146,11,,
0.213309,12,,
0.534146,13,,
0.122325,14,,
0.350485,15,,
0.213309,16,,
0.350485,17,,
0.739918,18,,
0.534146,19,,
0.350485,20,,
0.739918,21,,
0.004301,22,,
0.122325,23,,
0.213309,24,,
0.534146,25,,
0.534146,26,,
0.739918,27,,
0.534146,28,,
0.534146,29,,
0.122325,30,,
0.911413,31,,
0.066882,32,,
0.739918,33,,
0.350485,34,,
0.213309,35,,
0.911413,36,,
0.350485,37,,
0.739918,38,,
0.534146,39,,
0.991468,40,,
0.213309,41,,
0.213309,42,,
0.017912,43,,
0.739918,44,,
0.739918,45,,
0.213309,46,,
0.004301,47,,
0.350485,48,,
0.213309,49,,
0.739918,50,,
0.739918,51,,
0.911413,52,,
0.911413,53,,
0.911413,54,,
0.739918,55,,
0.911413,56,,
0.534146,57,,
0.739918,58,,
0.911413,59,,
0.213309,60,,
0.350485,61,,
0.122325,62,,
0.002043,63,,
0.739918,64,,
0.911413,65,,
0.534146,66,,
0.066882,67,,
0.213309,68,,
0.066882,69,,
0.534146,70,,
0.122325,71,,
0.739918,72,,
0.350485,73,,
0.122325,74,,
0.534146,75,,
0.911413,76,,
0.122325,77,,
0.534146,78,,
0.122325,79,,
0.911413,80,,
0.534146,81,,
0.534146,82,,
0.739918,83,,
0.035174,84,,
0.534146,85,,
0.017912,86,,
0.066882,87,,
0.739918,88,,
0.534146,89,,
0.122325,90,,
0.350485,91,,
0.213309,92,,
0.534146,93,,
0.534146,94,,
0.534146,95,,
0.350485,96,,
0.534146,97,,
0.911413,98,,
0.739918,99,,
0.534146,100,,
