p_value, coning, f-vector-dim-1, f-vector-dim-2
0.122325,1,,
0.911413,1,,
0.911413,2,,
0.350485,2,,
0.122325,3,,
0.739918,3,,
0.534146,4,,
0.534146,4,,
0.350485,5,,
0.350485,5,,
0.739918,6,,
0.911413,6,,
0.911413,7,,
0.739918,7,,
0.122325,8,,
0.739918,8,,
0.534146,9,,
0.213309,9,,
0.534146,10,,
0.350485,10,,
0.534146,11,,
0.534146,11,,
0.739918,12,,
0.534146,12,,
0.350485,13,,
0.534146,13,,
0.122325,14,,
0.350485,14,,
0.911413,15,,
0.122325,15,,
0.739918,16,,
0.911413,16,,
0.350485,17,,
0.534146,17,,
0.534146,18,,
0.534146,18,,
0.122325,19,,
0.213309,19,,
0.911413,20,,
0.534146,20,,
0.534146,21,,
0.213309,21,,
0.350485,22,,
0.911413,22,,
0.534146,23,,
0.739918,23,,
0.350485,24,,
0.739918,24,,
0.122325,25,,
0.350485,25,,
0.066882,26,,
0.122325,26,,
0.122325,27,,
0.534146,27,,
0.350485,28,,
0.739918,28,,
0.213309,29,,
0.739918,29,,
0.739918,30,,
0.739918,30,,
0.350485,31,,
0.122325,31,,
0.066882,32,,
0.739918,32,,
0.739918,33,,
0.739918,33,,
0.000439,34,,
0.534146,34,,
0.213309,35,,
0.350485,35,,
0.739918,36,,
0.122325,36,,
0.991468,37,,
0.739918,37,,
0.911413,38,,
0.739918,38,,
0.534146,39,,
0.911413,39,,
0.739918,40,,
0.739918,40,,
0.350485,41,,
0.739918,41,,
0.534146,42,,
0.350485,42,,
0.739918,43,,
0.739918,43,,
0.739918,44,,
0.911413,44,,
0.991468,45,,
0.739918,45,,
0.739918,46,,
0.534146,47,,
0.213309,47,,
0.350485,48,,
0.534146,48,,
0.350485,49,,
0.739918,49,,
0.035174,50,,
0.534146,50,,
0.534146,51,,
0.122325,51,,
0.066882,52,,
0.350485,52,,
0.739918,53,,
0.534146,53,,
0.534146,54,,
0.035174,54,,
0.350485,55,,
0.911413,55,,
0.122325,56,,
0.739918,56,,
0.739918,57,,
0.035174,57,,
0.911413,58,,
0.008879,58,,
0.534146,59,,
0.739918,59,,
0.350485,60,,
0.534146,60,,
0.739918,61,,
0.350485,61,,
0.534146,62,,
0.991468,62,,
0.739918,63,,
0.350485,63,,
0.991468,64,,
0.739918,64,,
0.350485,65,,
0.739918,65,,
0.534146,66,,
0.911413,66,,
0.122325,67,,
0.350485,67,,
0.534146,68,,
0.213309,68,,
0.213309,69,,
0.534146,69,,
0.911413,70,,
0.739918,70,,
0.122325,71,,
0.122325,71,,
0.350485,72,,
0.911413,72,,
0.350485,73,,
0.066882,73,,
0.122325,74,,
0.911413,74,,
0.739918,75,,
0.350485,75,,
0.350485,76,,
0.739918,76,,
0.739918,77,,
0.739918,77,,
0.213309,78,,
0.350485,78,,
0.066882,79,,
0.213309,79,,
0.911413,80,,
0.911413,80,,
0.213309,81,,
0.350485,81,,
0.739918,82,,
0.739918,82,,
0.911413,83,,
0.350485,83,,
0.213309,84,,
0.739918,84,,
0.534146,85,,
0.739918,85,,
0.911413,86,,
0.739918,86,,
0.534146,87,,
0.534146,87,,
0.350485,88,,
0.739918,88,,
0.534146,89,,
0.534146,89,,
0.911413,90,,
0.739918,90,,
0.739918,91,,
0.122325,91,,
0.534146,92,,
0.739918,92,,
0.739918,93,,
0.991468,93,,
0.534146,94,,
0.911413,94,,
0.534146,95,,
0.534146,95,,
0.739918,96,,
0.350485,96,,
0.350485,97,,
0.534146,97,,
0.066882,98,,
0.122325,98,,
0.213309,99,,
0.122325,99,,
0.739918,100,,
0.350485,100,,
