p_value, coning, f-vector-dim-1, f-vector-dim-2
0.534146,1,,
0.911413,2,,
0.122325,3,,
0.350485,4,,
0.534146,5,,
0.350485,6,,
0.017912,7,,
0.739918,8,,
0.350485,9,,
0.008879,10,,
0.534146,11,,
0.911413,12,,
0.213309,13,,
0.350485,14,,
0.991468,15,,
0.739918,16,,
0.350485,17,,
0.122325,18,,
0.213309,19,,
0.066882,20,,
0.350485,21,,
0.739918,22,,
0.017912,23,,
0.739918,24,,
0.350485,25,,
0.350485,26,,
0.350485,27,,
0.534146,28,,
0.350485,29,,
0.739918,30,,
0.350485,31,,
0.122325,32,,
0.911413,33,,
0.350485,34,,
0.911413,35,,
0.534146,36,,
0.350485,37,,
0.350485,38,,
0.350485,39,,
0.213309,40,,
0.534146,41,,
0.534146,42,,
0.534146,43,,
0.213309,44,,
0.122325,45,,
0.911413,46,,
0.534146,47,,
0.350485,48,,
0.534146,49,,
0.122325,50,,
0.534146,51,,
0.122325,52,,
0.122325,53,,
0.008879,54,,
0.911413,55,,
0.213309,56,,
0.213309,57,,
0.350485,58,,
0.350485,59,,
0.739918,60,,
0.122325,61,,
0.350485,62,,
0.213309,63,,
0.066882,64,,
0.350485,65,,
0.739918,66,,
0.534146,67,,
0.534146,68,,
0.991468,69,,
0.911413,70,,
0.911413,71,,
0.739918,72,,
0.739918,73,,
0.534146,74,,
0.534146,75,,
0.911413,76,,
0.122325,77,,
0.213309,78,,
0.534146,79,,
0.739918,80,,
0.534146,81,,
0.534146,82,,
0.534146,83,,
0.066882,84,,
0.035174,85,,
0.534146,86,,
0.739918,87,,
0.739918,88,,
0.350485,89,,
0.911413,90,,
0.534146,91,,
0.534146,92,,
0.350485,93,,
0.122325,94,,
0.122325,95,,
0.066882,96,,
0.739918,97,,
0.122325,98,,
0.911413,99,,
0.911413,100,,
